title	full	organism	type	n	platforms	ftp	id	otr	platform	n.samp	drug	drug_cid
22041. gene expression in endometrial cancer cells (ishikawa) after short time high dose exposure to progestins	"(submitter supplied) gene expression in endometrial cancer cells (ishikawa) after short time exposure to progestins sample and rna preparation: the series is composed of sixteen hybridizations for analysis of differentially expressed genes in endometrial cancer cells (ishikawa). in eight independent experiments, ishikawa cells in monolayer received with 30 ug/ml progestin and were grown in rpmi-1640 medium (sigma, sty. louis) with 10% dialyzed foetal calf serum (paa-laboratories, austria) without phenol red and antibiotics. cells were seeded at a density of 1 x 105 cells/ml in 25 cm2 culture flasks in a humidified atmosphere (5% co2) at 37å¡c for 4 hours. cells not treated with progestin served as control groups. total rna extraction was performed using trizol reagent (gibco brl life technologies, new york, ny). labeling and hybridization: total rna was reverse transcribed and labeled with cy3- and cy5- attached dendrimer, respectively, using the genisphere 3dna 350hs kit (genisphere, montvale, nj) as described in the manufacturer's protocol. hybridizations of transcribed probes were carried out in a tecan hs4800 instrument using the formamide-based hybridization buffer from genisphere containing 5% dextrane sulfate and 5.5 ng/ul cot1 dna (gibco brl life technologies) at 37å_ for 23 hours. 3dna dendrimer hybridizations were carried out in formamide-based hybridization buffer alone. post-hybridization washes were carried out at room temperature with 2xssc for 1 min, 0.2% sds /2xssc for 1 min and finally with 0.2xssc for 30 sec. sixteen hybridizations including dye-swap have been performed for eight independent experiments. scanning, image analysis and data processing: the arrays were scanned with the genepix 4000b scanner (axon instruments inc). the features were extracted from the arrays using genepix pro 6.0  (axon instruments inc., union city, ca). all subsequent statistical analyses were performed using the statistical package r (r development core team). spots that displayed a signal-to-noise ratio of less than 2, or that were significantly saturated (more than 20 % saturation among foreground pixels) were filtered out. the median was used as the averaging measure of the foreground pixels.  after quality control, genes that were present in less than 50 % of the arrays were filtered out. the arrays were normalized using dye-swap normalization. one array, whose dye swap twin failed was normalized using the lowess method. statistical significance was assigned to the genes using the sam methodology. the bioconductor samr package was used in the actual analysis. missing expression levels were imputed using 10 nearest neighbour's imputation. the local fdr threshold was set to 25 %.   keywords: progestin treatment, control-treatment"	Homo sapiens	Expression profiling by array	8	Platform: GPL4790 8 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE7nnn/GSE7184/	GSE7184	200007184	GPL4790	8	progesterone	5994
23888. selective suppression of endothelial cytokine production by progesterone receptor [rna-seq]	"(submitter supplied) steroid hormones are well-recognized suppressors of the inflammatory response, however, their cell- and tissue-specific effects in the regulation of inflammation are far less understood, particularly for the sex-related steroids. to determine the contribution of progesterone in the endothelium, we have characterized and validated an in vitro culture system in which human umbilical vein endothelial cells constitutively express human progesterone receptor (pr). more..."	Homo sapiens	Expression profiling by high throughput sequencing	6	Platform: GPL11154 6 Samples	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByStudy/sra/SRP/SRP021/SRP021908/	GSE46502	200046502	GPL11154	6	progesterone	5994
26639. transcriptomic profiling reveals new aspects of progestin signaling in breast cancer	(submitter supplied) we have identified differentially pr-regulated genes in t47d cells and mapped pr-binding sites by using next generation sequencing	Homo sapiens	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	4	Platform: GPL9052 4 Samples	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByStudy/sra/SRP/SRP031/SRP031503/	GSE51428	200051428	GPL9052	4	progesterone	5994
"14834. transcription poisoning by topoisomerase i is controlled by gene length, splice sites and mir-142-3p"	"(submitter supplied) dna topoisomerase i (top1) is required for transcription as it relaxes positive and negative supercoils by forming transient top1 cleavage complexes (top1cc) up- and down-stream of transcription complexes. however, top1cc can also be trapped by endogenous dna lesions and by camptothecin (cpt) and its anticancer derivatives, which results in transcription blocks. here, we undertook a genome-wide analysis of the effects of cpt on gene expression at exon resolution."	Homo sapiens	Expression profiling by array	15	Platform: GPL15454 15 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE37nnn/GSE37352/	GSE37352	200037352	GPL15454	15	camptothecin	24360
19955. genome-wide transcriptional effects of the anti-cancer agent camptothecin	"(submitter supplied) the anti-cancer drug camptothecin inhibits replication and transcription by trapping dna topoisomerase i (top1) covalently to dna in a ‰ÛÏcleavable complex‰Ûù. to examine the effects of camptothecin on rna synthesis genome-wide we used bru-seq and show that camptothecin treatment affected transcription initiation, elongation, termination, splicing and enhancer activity. following removal of camptothecin, transcription spread as a wave from the 5‰Ûª-end of genes with no recovery of transcription apparent from rna polymerases stalled in the body of genes. more..."	Homo sapiens	Expression profiling by high throughput sequencing	9	Platform: GPL11154 9 Samples	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByStudy/sra/SRP/SRP026/SRP026690/	GSE48678	200048678	GPL11154	9	camptothecin	24360
22147. tumor cell response to topoisomerase poison camptothecin	hela tumor cells treated with 10 um topoisomerase poison camptothecin (cpt) for 8 hours. this dose and time are sufficient to induce rapid apoptosis. results identify potential targets for adjuvant cancer therapy.	Homo sapiens	"Expression profiling by array, count, 2 agent sets"	7	Platform: GPL96 Series: GSE1417 7 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDSnnn/GDS885/	GDS885	885	GPL96 Series: GSE1417	7	camptothecin	24360
"22336. topoisomerase i cleavage complexes preferentially down-regulate ubiquitin- and rna degradation-related transcripts in relationship to gene length, exon-intron junctions and p53-dependent up-regulation of mir-142-3p [mirna]"	"(submitter supplied) dna topoisomerase i (top1) is required for transcription as it relaxes positive and negative supercoils by forming transient top1 cleavage complexes (top1cc) up- and down-stream of transcription complexes. however, top1cc can also be trapped by endogenous dna lesions and by camptothecin (cpt) and its anticancer derivatives, which results in transcription blocks. here, we undertook a genome-wide analysis of the effects of cpt on gene expression at exon resolution."	Homo sapiens	Non-coding RNA profiling by array	7	Platform: GPL10850 7 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE37nnn/GSE37357/	GSE37357	200037357	GPL10850	7	camptothecin	24360
22527. untreated vs. camptothecin treated hela cells	"(submitter supplied) pharmacogenomic identification of targets for adjuvant therapy with the topoisomerase poison camptothecin.   the response of tumor cells to the unusual form of dna damage caused by topoisomerase poisons such as camptothecin (cpt) is poorly understood, and knowledge regarding which drugs can be effectively combined with cpt is lacking. to better understand the response of tumor cells to cpt and to identify potential targets for adjuvant therapy, we examined global changes in mrna abundance in hela cells after cpt treatment using affymetrix u133a genechips, which include all annotated human genes (22,283 probe sets). more..."	Homo sapiens	Expression profiling by array	7	Dataset: GDS885 Platform: GPL96 7 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1417/	GSE1417	200001417	Dataset: GDS885 GPL96	Dataset: GDS885 7	camptothecin	24360
27806. transcriptional profiling of 293t cells treated with 2åµm camptothecin compared to untreated cells	"(submitter supplied) total rna from untreated 293t cells (2 samples) and 293t cells treated with 2åµm camptothecin for 48h (2 samples) was isolated using rneasy midi kit (qiagen, valencia) followed by gene expression profiling on affymetrix human u133a arrays and analysis by mas 5.1. keywords = 293t cells keywords = camptothecin keywords: parallel sample"	Homo sapiens	Expression profiling by array	4	Dataset: GDS1453 Platform: GPL96 4 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE2nnn/GSE2451/	GSE2451	200002451	Dataset: GDS1453 GPL96	Dataset: GDS1453 4	camptothecin	24360
20845. expression data from cyclohexamide treated human foreskin fibroblasts (hffs) infected with type i toxoplasma gondii and stimulated with interferon gamma.	"(submitter supplied) pre-infection with toxoplasma parasites inhibits induction of an interferon gamma responsive gene expression program.  in this study we aimed to determine what role host negative regulatory proteins that are induced by toxoplasma infection, such as socs-1, have in this inhibition. we used affymetrix microarrays to analyze host cell transcription after pre-treatment with the protein synthesis inhibitor cyclohexamide (chx), toxoplasma infection, and subsequent interferon-gamma stimulation."	Homo sapiens	Expression profiling by array	8	Platform: GPL571 8 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE34nnn/GSE34916/	GSE34916	200034916	GPL571	8	cyclohexamide	2900
15274. identification of direct androgen-target genes in the prostate cancer cell line lncap	(submitter supplied) transcriptional profiling of the lncap cell line treated with r1881 synthetic androgen and/or cycloheximide.	Homo sapiens	Expression profiling by array	14	Platform: GPL1456 14 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE22nnn/GSE22372/	GSE22372	200022372	GPL1456	14	cyclohexamide	2900
"23854. expression data from hela cells after hnrnp l knockdown (versus luciferase control), including cycloheximide treatment"	"(submitter supplied) transient sirna-mediated knockdown of hnrnp l, followed by cycloheximide treatment to eliminate nmd.  supplementary files gse37561_activated_exon.txt and gse37561_repressed_exon.txt list exons predicted to be activated and repressed by hnrnpl, respectively."	Homo sapiens	Expression profiling by array	6	Platform: GPL5188 6 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE37nnn/GSE37561/	GSE37561	200037561	GPL5188	6	cyclohexamide	2900
25900. serum stimulation with cycloheximide time course	"analysis of the transcriptional program in the response of human fibroblasts to serum. serum added to fibroblasts in the presence of cycloheximide and samples taken at 0, 0.5, 2 and 4 hours."	Homo sapiens	"Expression profiling by array, log ratio, 4 time sets"	4	Platform: GPL169 Series: GSE56 4 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/datasets/GDSnnn/GDS145/	GDS145	145	GPL169 Series: GSE56	4	cyclohexamide	2900
27837. serum stimulation of fibroblasts with cycloheximide	"(submitter supplied) the transcriptional program in the response of human fibroblasts to serum. serum was added to fibroblasts in the presence of cycloheximide. this study is described more fully in iyer vr, et al. 1999. science 283:83-7 keywords: time-course"	Homo sapiens	Expression profiling by array	4	Dataset: GDS145 Platform: GPL169 4 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE56/	GSE56	200000056	Dataset: GDS145 GPL169	Dataset: GDS145 4	cyclohexamide	2900
13496. hypoxia and hypoxia mimics	(submitter supplied) comparison between hypoxia (1%o2) and cobalt chloride (100 um) and deferoxamine (100 um) and nickel chloride (100 um) in hep3b cells (human hepatocellular carcinoma cells) keywords = hep3b keywords = hypoxia keywords = cobalt keywords = deferoxamine keywords = nickel keywords: ordered	Homo sapiens	Expression profiling by array	18	Platform: GPL91 18 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE1nnn/GSE1056/	GSE1056	200001056	GPL91	18	deferoxamine	2973
24490. iron chelators treatment on dms-53 human lung cancer cell	"(submitter supplied) the molecular role of iron in gene expression remains poorly characterized. moreover, the alterations in global gene expression after iron chelation remains unclear and are important to assess for understanding the molecular pathology of iron-depletion and the biological effects of iron chelators. we assessed the effect on whole genome gene expression of two iron chelators (desferrioxamine and dp44mt). more..."	Homo sapiens	Expression profiling by array	6	Platform: GPL570 6 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE26nnn/GSE26920/	GSE26920	200026920	GPL570	6	deferoxamine	2973
28544. iron chelators treatment on mcf-7 human breast cancer cell	"(submitter supplied) iron-deficiency affects 500 million people, yet the molecular role of iron in gene expression remains poorly characterized. moreover, the alterations in global gene expression after iron chelation remains unclear and are important to assess for understanding the molecular pathology of iron-deficiency and the biological effects of iron chelators. we assessed the effect on whole genome gene expression of two iron chelators (desferrioxamine and 2-hydroxy-1-napthylaldehyde isonicotinoyl hydrazone) that have markedly different permeability properties. more..."	Homo sapiens	Expression profiling by array	3	Platform: GPL570 3 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17832/	GSE17832	200017832	GPL570	3	deferoxamine	2973
"3310. a transcriptome-based classifier to identify developmental toxicants by stem cell testing: design, validation, and optimization for histone deacetylase inhibitors"	"(submitter supplied) test systems to identify developmental toxicants are urgently needed. a combination of human stem cell technology and transcriptome analysis was used here to provide proof-of-concept that toxicants with a related mode of action can be identified, and grouped for read-across. we chose a test system of developmental toxicity, related to the generation of neuroectoderm from pluripotent stem cells (ukn1), and exposed cells for six days to benchmark concentration (bmc) of histone deacetylase inhibitors (hdaci) valproic acid, trichostatin-a, vorinostat, belinostat, panobinostat and entinostat. more..."	Homo sapiens	Expression profiling by array	85	Platform: GPL570 85 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE71nnn/GSE71127/	GSE71127	200071127	GPL570	85	ms275	4261
4507. genome-wide dna methylation in mds/secondary aml and de novo aml	"(submitter supplied) an increasing body of work reveals aberrant hypermethylation of genes occurring in and potentially contributing to the pathogenesis of myeloid malignancies.  several of these diseases, such as myelodysplastic syndromes (mds), are responsive to dna methyltransferase inhibitors. in order to determine the extent of promoter hypermethylation in such tumors we compared the distribution of dna methylation of 14,000 promoters in mds and secondary aml patients enrolled in a phase i trial of 5-azacytidine and the histone deacetylase inhibitor entinostat against de novo aml patients and normal cd34+ bone marrow cells. more..."	Homo sapiens	Methylation profiling by genome tiling array	64	Platform: GPL6604 64 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17328/	GSE17328	200017328	GPL6604	64	ms275	4261
"10918. 5-azacytidine and entinostat treatment of patients with mds, chronic myelomonocytic leukemia (cmmol), and high risk aml"	"(submitter supplied) early epigenetic changes and dna damage do not predict clinical response in an overlapping schedule of 5-azacytidine and entinostat in patients with myeloid malignancies. the patients with mds, chronic myelomonocytic leukemia (cmmol), and high risk aml were treated with sequential administration of methylation inhibitor drugs (5ac and entinostat). to study gene expresion regulation in treated patients, microarray analysis was done on rna samples extracted from cd34+ cells from 18 patients before and 15 days after treatment using affymetrix u133plus2.0."	Homo sapiens	Expression profiling by array	24	Platform: GPL570 24 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE16nnn/GSE16625/	GSE16625	200016625	GPL570	24	ms275	4261
"4777. rnaseq to investigate transcriptional changes in human mm cell lines due to panobinostat, 5-azacytidine, panobinostat+5-azacytidine or n-methyl-2-pyrroldine (nmp) treatments."	"(submitter supplied) purpose: we applied rna sequencing technology for high-throughput analysis of transcriptional changes within human mm cell lines jjn3 and u266 due to individual and combination drug treatment. methods: jjn3 and u266 cells were treated with pan-hdaci panbobinostat, dnmti 5-azacytidine, panobinostat+5-azacytidine or nmp for 4h or 24h in triplicate and transcriptional changes assessed by rnaseq using illumina hiseq platform. more..."	Homo sapiens	Expression profiling by high throughput sequencing	60	Platform: GPL16791 60 Samples	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByStudy/sra/SRP/SRP041/SRP041036/	GSE56623	200056623	GPL16791	60	panobinostat	6918837
"12883. analysis of gene expression in human malignant rhabdoid cells following prolonged treatment with the histone deacetylase inhibitor, panobinostat"	"(submitter supplied) we hypothesized that prolonged treatment of malignant rhabdoid tumor cells with low-dose hdaci will drive cellular differentiation. we assessed changes in gene expression following 21 days treatment with the hdaci, panobinostat, versus a dmso vehcile control in three human mrt cell lines."	Homo sapiens	Expression profiling by array	18	Platform: GPL10558 18 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76664/	GSE76664	200076664	GPL10558	18	panobinostat	6918837
12994. identification of differentially expressed genes in lbh589-treated cells	"(submitter supplied) to identify the targets of lbh589 treatment, we compared gene expression profiles in three different types of human cancer cell lines (h295r, hela and mcf-7her2) with and without lbh589 treatment.  affymetrix microarray analysis was performed to determine changes in gene expression that are unique to lbh treatment."	Homo sapiens	Expression profiling by array	18	Platform: GPL6244 18 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36509/	GSE36509	200036509	GPL6244	18	panobinostat	6918837
13989. aberrant chromatin acetylation in mll-af9 leukemia mediates the response to hdac inhibition (microarray)	"(submitter supplied) we investigated the response of acute myeloid cells (aml) expressing mll-af9 fusion gene to the pan-hdaci panobinostat (lbh589), and found that low conentrations of panobinostat lead to mll-af9 cell toxicity and rapid changes in gene expression. human hematopoietic stem/progenitor cells (hspc) expressing mll-af9 fusion protein (wei et al, cancer cell 2008) were cultured with 30 nm panobinostat during 6 and 24 hours. more..."	Homo sapiens	Expression profiling by array	16	Platform: GPL17077 16 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54218/	GSE54218	200054218	GPL17077	16	panobinostat	6918837
"16362. differential gene expression in neuroblastoma cells after treatment with vehicle control, jq1, panobinostat, or combination of jq1 and panobinostat"	(submitter supplied) the bromodomain inhibitor jq1 and the histone deacetylase inhibitor panobinostat induce synergistic anticancer effects we analyzed whether jq1 and panobinostat synergistically modulate gene expression	Homo sapiens	Expression profiling by array	12	Platform: GPL16686 12 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68690/	GSE68690	200068690	GPL16686	12	panobinostat	6918837
17459. the hdac inhibitor panobinostat (lbh589) inhibits acute lymphoblastic leukemia (all) in vitro and in vivo in a new characterized human all mice model (illumina)	"(submitter supplied) histone deacetylases (hdacs) have been identified as therapeutic targets due to regulatory function in dna structure and organization. we have analyzed the role of the lbh589, a novel pan inhibitor of class i and ii hdacs, in acute lymphoblastic leukemia.  in vitro, lbh589 was shown to induce a dose dependent antiproliferative and apoptotic effect which was associated with an increase in the acetylation of h3 and h4 histone acetylation which was uniformly in every genetic subgroup of all. more..."	Homo sapiens	Methylation profiling by array	12	Platform: GPL8490 12 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE26nnn/GSE26791/	GSE26791	200026791	GPL8490	12	panobinostat	6918837
23832. identification of differentially expressed genes due to lbh589 treatment in aromatase inhibitor-resistant tumors	"(submitter supplied) in order to validate the utility of a novel pathway algorithm (bd-func), we test if an lbh589 signature based data from 3 cell lines (gse36509) in an independent experiment in vivo."	Homo sapiens	Expression profiling by array	6	Platform: GPL6244 6 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47346/	GSE47346	200047346	GPL6244	6	panobinostat	6918837
24415. the hdac inhibitor panobinostat (lbh589) inhibits acute lymphoblastic leukemia (all) in vitro and in vivo in a new characterized human all mice model (snp)	"(submitter supplied) histone deacetylases (hdacs) have been identified as therapeutic targets due to regulatory function in dna structure and organization. we have analyzed the role of the lbh589, a novel pan inhibitor of class i and ii hdacs, in acute lymphoblastic leukemia.  in vitro, lbh589 was shown to induce a dose dependent antiproliferative and apoptotic effect which was associated with an increase in the acetylation of h3 and h4 histone acetylation which was uniformly in every genetic subgroup of all. more..."	Homo sapiens	Expression profiling by SNP array; SNP genotyping by SNP array	6	Platform: GPL3720 6 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE26nnn/GSE26792/	GSE26792	200026792	GPL3720	6	panobinostat	6918837
29903. lbh589 (panobinostat) treatment of a gastric cancer cell line	"(submitter supplied) lbh589 is a histone deacetylase (hdac) inhibitor, treatment and changes in acetylated histones alters gene expression"	Homo sapiens	Expression profiling by array	2	Platform: GPL6244 2 Samples	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36444/	GSE36444	200036444	GPL6244	2	panobinostat	6918837
