	id	platform	name	title	main	design	project	type	species	ref	nsamp
31255	gse38010	gpl570	gse38010	janus-like opposing roles of cd47 in autoimmune brain inflammation in human and mice	gene transcripts and proteins expressed during disease pathogenesis identify targets for therapy. we performed microarray analysis of histologically characterized multiple sclerosis _ms_ brain lesions in comparison with control brain samples to identify differentially expressed molecules. we identified cd47 as a target of interest and studied its biology in ms and eae.	we isolated total rna from acute plaque _ap_, chronic active plaque _cap_ and chronic plaque _cp_ from ms brains and white matter from healthy controls and performed microarray studies.		expression profiling by array	homo sapiens	22734047	7
32947	gse39642	gpl15846	gse39642	nanostring ncounter immune-related gene expression in blood sorted cd14_cd16- monocytes from sals, fals and hc subjects	we investigated the innate immune system in the sod1 als model. we found that splenic ly6chi monocytes were activated and their progressive recruitment to the spinal cord, but not brain, correlated with neuronal loss. we found a decrease in resident microglia in the spinal cord with disease progression. two months prior to disease onset, splenic ly6chi monocytes had an m1 signature which included increased ccr2. at one month prior to disease onset, microglia expressed increased ccl2 and other chemotaxis-associated molecules. microglia derived from the spinal cord of sod1 mice recruited ly6c_ monocytes to the cns. treatment with anti-ly6c mab modulated the ly6chi monocyte cytokine profile, reduced monocyte recruitment to the spinal cord, diminished neuronal loss and extended survival. in humans with als, cd14__cd16- monocytes _analogue of ly6chi monocytes_ exhibited an als specific microrna inflammatory signature similar to that observed in the sod1 mouse providing a direct link between the animal model and the human disease. thus, the sod1-like profile of monocytes in als subjects may serve as a biomarker for disease stage or progression. our results suggest that recruitment of inflammatory monocytes plays an important role in disease progression and that modulation of these cells is a potential therapeutic approach_br_this study used the nanostring ncounter hybridization system and the nanostring  gx human immunology and nanostring human inflammation assays to identify and quantitate immune-related genes in blood cd14_cd16- monocytes from als, ms and hc subjects	total rna was isolated from facs sorted cd14_cd16- blood-derived monocytes from sporadic sals _n_10_, fals _n_4_ and hc _n_10_ subjects. rna was profiled using the nanostring  gx human immunology and nanostring human inflammation assays		expression profiling by array	homo sapiens	22863620	24
32948	gse39643	gpl15847	gse39643	nanostring mirna profiling of peripheral blood sorted cd14_cd16- monocytes from amyotrophic lateral sclerosis, multiple sclerosis and healthy control subjects	we investigated the innate immune system in the sod1 als model. we found that splenic ly6chi monocytes were activated and their progressive recruitment to the spinal cord, but not brain, correlated with neuronal loss. we found a decrease in resident microglia in the spinal cord with disease progression. two months prior to disease onset, splenic ly6chi monocytes had an m1 signature which included increased ccr2. at one month prior to disease onset, microglia expressed increased ccl2 and other chemotaxis-associated molecules. microglia derived from the spinal cord of sod1 mice recruited ly6c_ monocytes to the cns. treatment with anti-ly6c mab modulated the ly6chi monocyte cytokine profile, reduced monocyte recruitment to the spinal cord, diminished neuronal loss and extended survival. in humans with als, cd14__cd16- monocytes _analogue of ly6chi monocytes_ exhibited an als specific microrna inflammatory signature similar to that observed in the sod1 mouse providing a direct link between the animal model and the human disease. thus, the sod1-like profile of monocytes in als subjects may serve as a biomarker for disease stage or progression. our results suggest that recruitment of inflammatory monocytes plays an important role in disease progression and that modulation of these cells is a potential therapeutic approach._br_this study used the nanostring ncounter hybridization system and ncounter mirna expression assays to identify and quantitate mirnas in blood cd14_cd16- monocytes from als, ms and hc subjects	total rna was isolated from facs sorted cd14_cd16- blood-derived monocytes from sporadic als _n_8_, ms _n_8_ and hc _n_8_ subjects. rna was profiled using the nanostring ncounter mirna expression assay		non-coding rna profiling by array	homo sapiens	22863620	24
33708	gse40360	gpl13534	gse40360	dna methylation differences between multiple sclerosis and controls in frontal lobe white matter	using the illumina 450k array and a stringent statistical analysis with age and gender correction, we report genome-wide differences in dna methylation between pathology-free regions derived from human multiple sclerosis_affected and control brains. differences were subtle, but widespread and reproducible in an independent validation cohort. the transcriptional consequences of differential dna methylation were further defined by genome-wide rna-sequencing analysis and validated in two independent cohorts. genes regulating oligodendrocyte survival, such as bcl2l2 and ndrg1, were hypermethylated and expressed at lower levels in multiple sclerosis_affected brains than in controls, while genes related to proteolytic processing _for example, lgmn, ctsz_ were hypomethylated and expressed at higher levels. these results were not due to differences in cellular composition between multiple sclerosis and controls. thus, epigenomic changes in genes affecting oligodendrocyte susceptibility to damage are detected in pathology-free areas of multiple sclerosis_affected brains.	47 samples analyzed in total_ 17 ms females, age 55.5 _ 10.3 years_ 11 ms males, age 55.0 _ 9.9 years_ 7 control females, 69.1 _ 9.2 years_ 12 control males, 64.7 _ 8.0 years. from each individual, white matter was dissected from the frontal lobe and global dna methylation levels were assessed using illumina infinium humanmethylation450 beadchip.		methylation profiling by array	homo sapiens	24270187	47
34081	gse40710	gpl11154	gse40710	asyn polya-rnaseq in pd and unaffected cortical brain samples	we sought to more precisely characterize the different alpha-synuclein _asyn_ 3_utr mrna species in normal and pd human brain.  high-throughput, whole-transcriptome sequencing of the 3_utr ends of polyadenylated mrna transcripts _termed pa-rnaseq_ see methods_ was performed on a cohort of 17 unaffected and 17 pd cerebral cortical tissue samples.  this revealed 5 asyn 3_utr isoforms, with lengths of 290, 480, 560, 1070 and 2520 nt.  of these, the 560 nt and 2520 nt forms were predominant. the existence and relative preponderance of these species was further confirmed by northern blot. we next hypothesized, that asyn 3_utr selection might be altered in pd.  comparison of pa-rnaseq profiles from pd and unaffected cerebral cortex samples revealed an increase in the preponderance of the long 3_utr species __gt_560 nt_ relative to shorter species __lt_560 nt_.  such a relative increase in asynl was confirmed by quantitative real-time rt-pcr _rt-qpcr_ and appeared specific for pd, as the increase was also observed by comparison to rna from amyotrophic lateral sclerosis patient samples.  we note that the modified asyn 3_utr selection associated with pd patient tissue was detected in cerebral cortex tissue, which typically harbors pathological evidence of the disease process without frank cell loss_ thus, this phenotype is unlikely to be a secondary consequence of neurodegeneration.	comparison of 3_utr ends of alpha-synuclein in pd and unaffected brain cortex		non-coding rna profiling by high throughput sequencing	homo sapiens	23011138	33
39830	gse46131	gpl10999	gse46131	a study of small rnas from cerebral neocortex of pathology-verified alzheimer_s disease, dementia with lewy bodies, hippocampal sclerosis, frontotemporal lobar dementia, and non-demented human controls	micrornas _mirnas_ are small _20-22 nucleotides_ regulatory non-coding rnas that strongly influence gene expression. most prior studies addressing the role of mirnas in neurodegenerative diseases _nds_ have focused on individual controls _n _ 2_, ad _n _ 5_, dementia with lewy bodies _n _ 4_, hippocampal sclerosis of aging _n _ 4_, and frontotemporal lobar dementia _ftld_ _n _ 5_ cases, together accounting for the most prevalent nd subtypes. all cases had short postmortem intervals, relatively high-quality rna, and state-of-the-art neuropathological diagnoses. the resulting data _over 113 million reads in total, averaging 5.6 million reads per sample_ and secondary expression analyses constitute an unprecedented look into the human cerebral cortical mirnome at single nucleotide resolution. while we find no apparent changes in isomir or mirna editing patterns in correlation with nd pathology, our results validate and extend previous mirna profiling studies with regard to quantitative changes in nds. in agreement with this idea, we provide independent cohort validation for changes in mir-132 expression levels in ad _n _ 8_ and ftld _n _ 14_ cases when compared to controls _n _ 8_. the identification of common and nd-specific putative novel brain mirnas and_or short-hairpin molecules is also presented. the challenge now is to better understand the impact of these and other alterations on neuronal gene expression networks and neuropathologies.	using rna deep sequencing, we sought to analyze in detail the small rnas _including mirnas_ in the temporal neocortex gray matter from non-demented controls _n _ 2_, ad _n _ 5_, dementia with lewy bodies _n _ 4_, hippocampal sclerosis of aging _n _ 4_, and frontotemporal lobar dementia _ftld_ _n _ 5_ cases, together accounting for the most prevalent nd subtypes.		non-coding rna profiling by high throughput sequencing	homo sapiens	23403535	20
46175	gse52202	gpl11154	gse52202	ipsc derived motor neuron cultures from c9orf72 carriers	amyotrophic lateral sclerosis _als_ is a severe neurodegenerative condition characterized by loss of motor neurons in the brain and spinal cord. expansions of a hexanucleotide repeat _ggggcc_ in the noncoding region of the c9orf72 gene are the most common cause of the familial form of als _c9-als_, as well as frontotemporal lobar degeneration and other neurological diseases. how the repeat expansion causes disease remains unclear, with both loss of function _haploinsufficiency_ and gain of function _either toxic rna or protein products_ proposed. we report a cellular model of c9-als with motor neurons differentiated from induced pluripotent stem cells _ipscs_ derived from als patients carrying the c9orf72 repeat expansion. no significant loss of c9orf72 expression was observed, and knockdown of the transcript was not toxic to cultured human motor neurons. transcription of the repeat was increased, leading to accumulation of ggggcc repeat_containing rna foci selectively in c9-als ipsc-derived motor neurons. repeat-containing rna foci colocalized with hnrnpa1 and pur-_, suggesting that they may be able to alter rna metabolism. c9-als motor neurons showed altered expression of genes involved in membrane excitability including dpp6, and demonstrated a diminished capacity to fire continuous spikes upon depolarization compared to control motor neurons. antisense oligonucleotides targeting the c9orf72 transcript suppressed rna foci formation and reversed gene expression alterations in c9-als motor neurons. these data show that patient-derived motor neurons can be used to delineate pathogenic events in als.	transcriptome profiling from ipsc derived motor neurons compared to controls		expression profiling by high throughput sequencing	homo sapiens	24154603	8
52680	gse5839	gpl96	gse5839	microarray analysis of multiples sclerosis brain tissue in comparison to control brain tissue	ms is a primary demyelinating disease of the central nervous system. the cause is unknown and pathological hallmarks include plaque formation with immune cell infiltration. a microarray analysis of characterized brain tissue samples from three ms cases and a non-neurological control sample was performed containing over 22,000 genes. real-time pcr analyses of 7 ms samples and 3 non-neurological control brain samples confirmed changes in expression in the chosen genes of interest._br_keywords_ disease state analysis	three ms cases and a non-neurological control sample were used.		expression profiling by array	homo sapiens	unpublished	4
55288	gse60914	gpl10332	gse60914	central role of th2 and tc2 lymphocytes in multiple sclerosis pattern ii demyelinating lesions	multiple sclerosis _ms_ is a chronic inflammatory demyelinating disease of the central nervous system with marked heterogeneity in several aspects including pathological processes. four histopathological patterns of ms have been described. pattern ii is characterized by antibody and complement deposition. ms is considered a prototypic t cell-mediated disease, but until now the study of pathogenic t cells has encountered major challenges, most importantly the limited access of brain-infiltrating t cells. here, we used next generation sequencing to identify clonally expanded t cells in demyelinating pattern ii brain autopsy lesions and subsequently isolated these as t cell clones from autologous cerebrospinal fluid. the functional characterization shows that t cells releasing th2 cytokines and able to provide b cell help dominate the t cell infiltrate in pattern ii brain lesions. our data provide the first functional evidence for a role of th2_tc2 cells in pattern ii ms.	two stimulated cd4_ th2 brain infiltrating t cell clones compared with stimulated circulaiting memory cd4_ t cells and two stimulated cd8_ t cell clones _one tc1 and one tc2_ compared with each other.		expression profiling by array	homo sapiens	26401510	9
55317	gse60942	gpl11154	gse60942	next generation sequencing of pattern ii demyelinating brain lesions from a multiple sclerosis patient	multiple sclerosis is a chronic inflammatory demyelinating disease of the central nervous system with marked heterogeneity in several aspects including pathological processes. four histopathological patterns of ms have been described. pattern ii is characterized by infiltrating macrophages and t-cells and by antibody and complement deposition. transcriptome analysis of three patern ii demyelinating brain lesions from a multiple sclerosis patient using rna sequencing demonstrated the presence of mrna transcripts for genes specific of activated macrophages, t and b cells as well as genes coding for immunoglobulins, complement proteins and some pattern ii associated proteins, providing additional evidence supporting pattern ii demyelination.	examination of 3 different demyelinating lesions identified by immunohistopathology.		expression profiling by high throughput sequencing	homo sapiens	26401510	3
55720	gse61320	gpl6883	gse61320	mutation of senataxin alters disease-specific transcriptional networks in patients with ataxia with oculomotor apraxia type 2 _01_fibroblasts_patientandcarrier_	senataxin, encoded by the setx gene, contributes to multiple aspects of gene expression, including transcription and rna processing. mutations in setx cause the recessive disorder ataxia with oculomotor apraxia type 2 _aoa2_ and a dominant juvenile form of amyotrophic lateral sclerosis _als4_. to assess the functional role of senataxin in disease, we examined differential gene expression in aoa2 patient fibroblasts, identifying a core set of genes showing altered expression by microarray and rna-sequencing. to determine whether aoa2 and als4 mutations differentially affect gene expression, we overexpressed disease-specific setx mutations in senataxin-haploinsufficient fibroblasts and observed changes in distinct sets of genes. this implicates mutation-specific alterations of senataxin function in disease pathogenesis and provides a novel example of allelic neurogenetic disorders with differing gene expression profiles. weighted gene co-expression network analysis _wgcna_ demonstrated these senataxin-associated genes to be involved in both mutation-specific and shared functional gene networks. to assess this in vivo, we performed gene expression analysis on peripheral blood from members of 12 different aoa2 families and identified an aoa2-specific transcriptional signature. wgcna identified two gene modules highly enriched for this transcriptional signature in the peripheral blood of all aoa2 patients studied. these modules were disease-specific and preserved in patient fibroblasts and in the cerebellum of setx knockout mice demonstrating conservation across species and cell types, including neurons. these results identify novel genes and cellular pathways related to senataxin function in normal and disease states, and implicate alterations in gene expression as underlying the phenotypic differences between aoa2 and als4.	total rna samples obtained from 1_ an aoa2 patient and carrier fibroblast cell lines, 2_ 2 biological replicates of haploinsufficient setx fibroblast cell lines transfected with one of 4 different wild-type and mutant setx constructs, 3_ peripheral blood from 33 patients and carriers across 12 families, and 4_ 2 tissues from 2 setx knockout and 2 control mice were analyzed using expression microarray._br__br_this submission represents the microarray component of study.		expression profiling by array	homo sapiens	24760770	4
