	title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1	characteristics_ch1	treatment_protocol_ch1	growth_protocol_ch1	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	description	data_processing	platform_id	contact_name	contact_email	contact_laboratory	contact_department	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	supplementary_file	data_row_count
GSM1503188	ZR751_E2s_DHT_rep3	GSM1503188	Public on Oct 18 2015	Sep 12 2014	Oct 18 2015	RNA	1	ZR751_E2s_DHT	Homo sapiens	cell line: ZR-75-1	cell type: breast cancer cells	treatment group: 16h 10nM estradiol cotreated with 16h 10nM dihydrotestosterone	Cells were plated at 500,000 cells per well in 6 well plates in phenol red free RPMI 1640 (Life Technologies) supplemented with 10% dextran charcoal stripped FBS (Sigma-Aldrich), and treated with 10nM E2 where indicated (E2L). Cells were subsequently treated for 16h with the nominated hormone(s).	Cells were sourced from ATCC and used at passage 16. Cells were grown in RPMI 1640 (Life Technologies) supplemented with 10% FBS (Sigma-Aldrich)	total RNA	Total RNA was isolated using a Qiagen Rneasy RNA extraction kit, incorporating Dnase on-column digestion according to manufacturer's instructions	biotin	biotinylated cDNA was prepared using 1ug of total RNA according to standard Illumina protocols	9606	Standard Illumina hybridisation protocol	Standard Illumina Scanning protocol	E2s_DHT_rep3	Data was normalised using rank variant normalisation in bead studio. For publication, this data was then normalised using variance stabilisation normalisation, corrected with ComBat, filtered to likely expressed transcripts and then subjected to linear model fitting as implemented in the bioconductor Limma package in R.	GPL6884	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	NONE	48803
GSM1503189	ZR751_E2s_DHT_rep2	GSM1503189	Public on Oct 18 2015	Sep 12 2014	Oct 18 2015	RNA	1	ZR751_E2s_DHT	Homo sapiens	cell line: ZR-75-1	cell type: breast cancer cells	treatment group: 16h 10nM estradiol cotreated with 16h 10nM dihydrotestosterone	Cells were plated at 500,000 cells per well in 6 well plates in phenol red free RPMI 1640 (Life Technologies) supplemented with 10% dextran charcoal stripped FBS (Sigma-Aldrich), and treated with 10nM E2 where indicated (E2L). Cells were subsequently treated for 16h with the nominated hormone(s).	Cells were sourced from ATCC and used at passage 16. Cells were grown in RPMI 1640 (Life Technologies) supplemented with 10% FBS (Sigma-Aldrich)	total RNA	Total RNA was isolated using a Qiagen Rneasy RNA extraction kit, incorporating Dnase on-column digestion according to manufacturer's instructions	biotin	biotinylated cDNA was prepared using 1ug of total RNA according to standard Illumina protocols	9606	Standard Illumina hybridisation protocol	Standard Illumina Scanning protocol	E2s_DHT_rep2	Data was normalised using rank variant normalisation in bead studio. For publication, this data was then normalised using variance stabilisation normalisation, corrected with ComBat, filtered to likely expressed transcripts and then subjected to linear model fitting as implemented in the bioconductor Limma package in R.	GPL6884	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	NONE	48803
GSM1503190	ZR751_E2s_rep1	GSM1503190	Public on Oct 18 2015	Sep 12 2014	Oct 18 2015	RNA	1	ZR751_E2s	Homo sapiens	cell line: ZR-75-1	cell type: breast cancer cells	treatment group: 16h 10nM estradiol	Cells were plated at 500,000 cells per well in 6 well plates in phenol red free RPMI 1640 (Life Technologies) supplemented with 10% dextran charcoal stripped FBS (Sigma-Aldrich), and treated with 10nM E2 where indicated (E2L). Cells were subsequently treated for 16h with the nominated hormone(s).	Cells were sourced from ATCC and used at passage 16. Cells were grown in RPMI 1640 (Life Technologies) supplemented with 10% FBS (Sigma-Aldrich)	total RNA	Total RNA was isolated using a Qiagen Rneasy RNA extraction kit, incorporating Dnase on-column digestion according to manufacturer's instructions	biotin	biotinylated cDNA was prepared using 1ug of total RNA according to standard Illumina protocols	9606	Standard Illumina hybridisation protocol	Standard Illumina Scanning protocol	E2s_rep1	Data was normalised using rank variant normalisation in bead studio. For publication, this data was then normalised using variance stabilisation normalisation, corrected with ComBat, filtered to likely expressed transcripts and then subjected to linear model fitting as implemented in the bioconductor Limma package in R.	GPL6884	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	NONE	48803
GSM1503191	ZR751_E2s_rep2	GSM1503191	Public on Oct 18 2015	Sep 12 2014	Oct 18 2015	RNA	1	ZR751_E2s	Homo sapiens	cell line: ZR-75-1	cell type: breast cancer cells	treatment group: 16h 10nM estradiol	Cells were plated at 500,000 cells per well in 6 well plates in phenol red free RPMI 1640 (Life Technologies) supplemented with 10% dextran charcoal stripped FBS (Sigma-Aldrich), and treated with 10nM E2 where indicated (E2L). Cells were subsequently treated for 16h with the nominated hormone(s).	Cells were sourced from ATCC and used at passage 16. Cells were grown in RPMI 1640 (Life Technologies) supplemented with 10% FBS (Sigma-Aldrich)	total RNA	Total RNA was isolated using a Qiagen Rneasy RNA extraction kit, incorporating Dnase on-column digestion according to manufacturer's instructions	biotin	biotinylated cDNA was prepared using 1ug of total RNA according to standard Illumina protocols	9606	Standard Illumina hybridisation protocol	Standard Illumina Scanning protocol	E2s_rep2	Data was normalised using rank variant normalisation in bead studio. For publication, this data was then normalised using variance stabilisation normalisation, corrected with ComBat, filtered to likely expressed transcripts and then subjected to linear model fitting as implemented in the bioconductor Limma package in R.	GPL6884	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	NONE	48803
GSM1503192	ZR751_DHT_rep4	GSM1503192	Public on Oct 18 2015	Sep 12 2014	Oct 18 2015	RNA	1	ZR751_DHT	Homo sapiens	cell line: ZR-75-1	cell type: breast cancer cells	treatment group: 16h 10nM dihydrotestosterone	Cells were plated at 500,000 cells per well in 6 well plates in phenol red free RPMI 1640 (Life Technologies) supplemented with 10% dextran charcoal stripped FBS (Sigma-Aldrich), and treated with 10nM E2 where indicated (E2L). Cells were subsequently treated for 16h with the nominated hormone(s).	Cells were sourced from ATCC and used at passage 16. Cells were grown in RPMI 1640 (Life Technologies) supplemented with 10% FBS (Sigma-Aldrich)	total RNA	Total RNA was isolated using a Qiagen Rneasy RNA extraction kit, incorporating Dnase on-column digestion according to manufacturer's instructions	biotin	biotinylated cDNA was prepared using 1ug of total RNA according to standard Illumina protocols	9606	Standard Illumina hybridisation protocol	Standard Illumina Scanning protocol	DHT_rep4	Data was normalised using rank variant normalisation in bead studio. For publication, this data was then normalised using variance stabilisation normalisation, corrected with ComBat, filtered to likely expressed transcripts and then subjected to linear model fitting as implemented in the bioconductor Limma package in R.	GPL6884	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	NONE	48803
GSM1503193	ZR751_E2s_DHT_rep1	GSM1503193	Public on Oct 18 2015	Sep 12 2014	Oct 18 2015	RNA	1	ZR751_E2s_DHT	Homo sapiens	cell line: ZR-75-1	cell type: breast cancer cells	treatment group: 16h 10nM estradiol cotreated with 16h 10nM dihydrotestosterone	Cells were plated at 500,000 cells per well in 6 well plates in phenol red free RPMI 1640 (Life Technologies) supplemented with 10% dextran charcoal stripped FBS (Sigma-Aldrich), and treated with 10nM E2 where indicated (E2L). Cells were subsequently treated for 16h with the nominated hormone(s).	Cells were sourced from ATCC and used at passage 16. Cells were grown in RPMI 1640 (Life Technologies) supplemented with 10% FBS (Sigma-Aldrich)	total RNA	Total RNA was isolated using a Qiagen Rneasy RNA extraction kit, incorporating Dnase on-column digestion according to manufacturer's instructions	biotin	biotinylated cDNA was prepared using 1ug of total RNA according to standard Illumina protocols	9606	Standard Illumina hybridisation protocol	Standard Illumina Scanning protocol	E2s_DHT_rep1	Data was normalised using rank variant normalisation in bead studio. For publication, this data was then normalised using variance stabilisation normalisation, corrected with ComBat, filtered to likely expressed transcripts and then subjected to linear model fitting as implemented in the bioconductor Limma package in R.	GPL6884	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	NONE	48803
GSM1503194	ZR751_VC_rep4	GSM1503194	Public on Oct 18 2015	Sep 12 2014	Oct 18 2015	RNA	1	ZR751_VC	Homo sapiens	cell line: ZR-75-1	cell type: breast cancer cells	treatment group: 16h eqivalent vehicle (ethanol; 2 parts per million)	Cells were plated at 500,000 cells per well in 6 well plates in phenol red free RPMI 1640 (Life Technologies) supplemented with 10% dextran charcoal stripped FBS (Sigma-Aldrich), and treated with 10nM E2 where indicated (E2L). Cells were subsequently treated for 16h with the nominated hormone(s).	Cells were sourced from ATCC and used at passage 16. Cells were grown in RPMI 1640 (Life Technologies) supplemented with 10% FBS (Sigma-Aldrich)	total RNA	Total RNA was isolated using a Qiagen Rneasy RNA extraction kit, incorporating Dnase on-column digestion according to manufacturer's instructions	biotin	biotinylated cDNA was prepared using 1ug of total RNA according to standard Illumina protocols	9606	Standard Illumina hybridisation protocol	Standard Illumina Scanning protocol	VC_rep4	Data was normalised using rank variant normalisation in bead studio. For publication, this data was then normalised using variance stabilisation normalisation, corrected with ComBat, filtered to likely expressed transcripts and then subjected to linear model fitting as implemented in the bioconductor Limma package in R.	GPL6884	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	NONE	48803
GSM1503195	ZR751_E2s_MPA_rep3	GSM1503195	Public on Oct 18 2015	Sep 12 2014	Oct 18 2015	RNA	1	ZR751_E2s_MPA	Homo sapiens	cell line: ZR-75-1	cell type: breast cancer cells	treatment group: 16h 10nM estradiol cotreated with 16h 10nM medroxyprogesterone acetate	Cells were plated at 500,000 cells per well in 6 well plates in phenol red free RPMI 1640 (Life Technologies) supplemented with 10% dextran charcoal stripped FBS (Sigma-Aldrich), and treated with 10nM E2 where indicated (E2L). Cells were subsequently treated for 16h with the nominated hormone(s).	Cells were sourced from ATCC and used at passage 16. Cells were grown in RPMI 1640 (Life Technologies) supplemented with 10% FBS (Sigma-Aldrich)	total RNA	Total RNA was isolated using a Qiagen Rneasy RNA extraction kit, incorporating Dnase on-column digestion according to manufacturer's instructions	biotin	biotinylated cDNA was prepared using 1ug of total RNA according to standard Illumina protocols	9606	Standard Illumina hybridisation protocol	Standard Illumina Scanning protocol	E2s_MPA_rep3	Data was normalised using rank variant normalisation in bead studio. For publication, this data was then normalised using variance stabilisation normalisation, corrected with ComBat, filtered to likely expressed transcripts and then subjected to linear model fitting as implemented in the bioconductor Limma package in R.	GPL6884	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	NONE	48803
GSM1503196	ZR751_E2s_MPA_rep4	GSM1503196	Public on Oct 18 2015	Sep 12 2014	Oct 18 2015	RNA	1	ZR751_E2s_MPA	Homo sapiens	cell line: ZR-75-1	cell type: breast cancer cells	treatment group: 16h 10nM estradiol cotreated with 16h 10nM medroxyprogesterone acetate	Cells were plated at 500,000 cells per well in 6 well plates in phenol red free RPMI 1640 (Life Technologies) supplemented with 10% dextran charcoal stripped FBS (Sigma-Aldrich), and treated with 10nM E2 where indicated (E2L). Cells were subsequently treated for 16h with the nominated hormone(s).	Cells were sourced from ATCC and used at passage 16. Cells were grown in RPMI 1640 (Life Technologies) supplemented with 10% FBS (Sigma-Aldrich)	total RNA	Total RNA was isolated using a Qiagen Rneasy RNA extraction kit, incorporating Dnase on-column digestion according to manufacturer's instructions	biotin	biotinylated cDNA was prepared using 1ug of total RNA according to standard Illumina protocols	9606	Standard Illumina hybridisation protocol	Standard Illumina Scanning protocol	E2s_MPA_rep4	Data was normalised using rank variant normalisation in bead studio. For publication, this data was then normalised using variance stabilisation normalisation, corrected with ComBat, filtered to likely expressed transcripts and then subjected to linear model fitting as implemented in the bioconductor Limma package in R.	GPL6884	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	NONE	48803
GSM1503197	ZR751_E2s_rep3	GSM1503197	Public on Oct 18 2015	Sep 12 2014	Oct 18 2015	RNA	1	ZR751_E2s	Homo sapiens	cell line: ZR-75-1	cell type: breast cancer cells	treatment group: 16h 10nM estradiol	Cells were plated at 500,000 cells per well in 6 well plates in phenol red free RPMI 1640 (Life Technologies) supplemented with 10% dextran charcoal stripped FBS (Sigma-Aldrich), and treated with 10nM E2 where indicated (E2L). Cells were subsequently treated for 16h with the nominated hormone(s).	Cells were sourced from ATCC and used at passage 16. Cells were grown in RPMI 1640 (Life Technologies) supplemented with 10% FBS (Sigma-Aldrich)	total RNA	Total RNA was isolated using a Qiagen Rneasy RNA extraction kit, incorporating Dnase on-column digestion according to manufacturer's instructions	biotin	biotinylated cDNA was prepared using 1ug of total RNA according to standard Illumina protocols	9606	Standard Illumina hybridisation protocol	Standard Illumina Scanning protocol	E2s_rep3	Data was normalised using rank variant normalisation in bead studio. For publication, this data was then normalised using variance stabilisation normalisation, corrected with ComBat, filtered to likely expressed transcripts and then subjected to linear model fitting as implemented in the bioconductor Limma package in R.	GPL6884	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	NONE	48803
