	title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1	characteristics_ch1	characteristics_ch1	treatment_protocol_ch1	growth_protocol_ch1	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	data_processing	platform_id	contact_name	contact_email	contact_phone	contact_department	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	supplementary_file	data_row_count
GSM1827638	UKN1_41_biom_A_untr_D11_21	GSM1827638	Public on Jul 21 2015	Jul 20 2015	Jul 21 2015	RNA	1	hESCs_culturing medium_6 days	Homo sapiens	gender: female	cell type: human embryonic stem cells	incubated or treated with: culturing medium for 6 days	cell status: differentiated state	H9 hESCs were differentiated for 6 days in the presence and absence of the toxicants into neuroepithelia progenitors (NEP)  (Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	According to Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	total RNA	Total RNA from 6 days differentiated hESCs in the presence and absence of benchmark concentration (BMC) of toxicants has  been isolated with  Trizol reagent (Invitrogen) and purified with the RNeasy Plus kit from Qiagen	biotin	100ng total RNA was used for aRNA amplification with GeneChip® 3’ IVT Express Kit (Affymetrix, United Kingdom) according to the manufacturer’s instructions. After 16 h of biotinylated in vitro transcription, aRNA was purified using magnetic beads and 15µg of purified aRNA was fragmented with fragmentation buffer	9606	12.5µg of fragmented aRNA was hybridized to the Human Genome U133 plus 2.0 microarrays in the Genechip Hybridisation Oven-645 (Affymetrix, United Kingdom) for 16 h at 45º C.	Arrays were washed and stained with phycoerythrin with Fluidics Station 450 and scanned using the Gene-Chip Scanner 3000 7G (Affymetrix, United Kingdom) according to the manufacturer's instructions	The quality control (QC) matrices were confirmed with expression console software (Affymertix, USA) and Partek genomics suite version 6.6 (Partek Inc.St.Louis,USA). QC passed CEL files were further analyzed using Partek genomics suite version 6.6. All CEL files were RMA background corrected, quantile normalized and all probe sets were summarized using median polish algorithm.	GPL570	Agapios,,Sachinidis	a.sachinidis@uni-koeln.de	+492214787373	Institute of Neurophysiology	University of Cologne	Robert-Kochstr. 39	Cologne	NRW	50931	Germany	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1827nnn/GSM1827638/GSM1827638_UKN1_41_biom_A_untr_D11_21.CEL.gz	54675
GSM1827639	UKN1_42_biom_A_untr_D11_22	GSM1827639	Public on Jul 21 2015	Jul 20 2015	Jul 21 2015	RNA	1	hESCs_culturing medium_6 days	Homo sapiens	gender: female	cell type: human embryonic stem cells	incubated or treated with: culturing medium for 6 days	cell status: differentiated state	H9 hESCs were differentiated for 6 days in the presence and absence of the toxicants into neuroepithelia progenitors (NEP)  (Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	According to Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	total RNA	Total RNA from 6 days differentiated hESCs in the presence and absence of benchmark concentration (BMC) of toxicants has  been isolated with  Trizol reagent (Invitrogen) and purified with the RNeasy Plus kit from Qiagen	biotin	100ng total RNA was used for aRNA amplification with GeneChip® 3’ IVT Express Kit (Affymetrix, United Kingdom) according to the manufacturer’s instructions. After 16 h of biotinylated in vitro transcription, aRNA was purified using magnetic beads and 15µg of purified aRNA was fragmented with fragmentation buffer	9606	12.5µg of fragmented aRNA was hybridized to the Human Genome U133 plus 2.0 microarrays in the Genechip Hybridisation Oven-645 (Affymetrix, United Kingdom) for 16 h at 45º C.	Arrays were washed and stained with phycoerythrin with Fluidics Station 450 and scanned using the Gene-Chip Scanner 3000 7G (Affymetrix, United Kingdom) according to the manufacturer's instructions	The quality control (QC) matrices were confirmed with expression console software (Affymertix, USA) and Partek genomics suite version 6.6 (Partek Inc.St.Louis,USA). QC passed CEL files were further analyzed using Partek genomics suite version 6.6. All CEL files were RMA background corrected, quantile normalized and all probe sets were summarized using median polish algorithm.	GPL570	Agapios,,Sachinidis	a.sachinidis@uni-koeln.de	+492214787373	Institute of Neurophysiology	University of Cologne	Robert-Kochstr. 39	Cologne	NRW	50931	Germany	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1827nnn/GSM1827639/GSM1827639_UKN1_42_biom_A_untr_D11_22.CEL.gz	54675
GSM1827640	UKN1_43_biom_A_untr_D11_23	GSM1827640	Public on Jul 21 2015	Jul 20 2015	Jul 21 2015	RNA	1	hESCs_culturing medium_6 days	Homo sapiens	gender: female	cell type: human embryonic stem cells	incubated or treated with: culturing medium for 6 days	cell status: differentiated state	H9 hESCs were differentiated for 6 days in the presence and absence of the toxicants into neuroepithelia progenitors (NEP)  (Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	According to Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	total RNA	Total RNA from 6 days differentiated hESCs in the presence and absence of benchmark concentration (BMC) of toxicants has  been isolated with  Trizol reagent (Invitrogen) and purified with the RNeasy Plus kit from Qiagen	biotin	100ng total RNA was used for aRNA amplification with GeneChip® 3’ IVT Express Kit (Affymetrix, United Kingdom) according to the manufacturer’s instructions. After 16 h of biotinylated in vitro transcription, aRNA was purified using magnetic beads and 15µg of purified aRNA was fragmented with fragmentation buffer	9606	12.5µg of fragmented aRNA was hybridized to the Human Genome U133 plus 2.0 microarrays in the Genechip Hybridisation Oven-645 (Affymetrix, United Kingdom) for 16 h at 45º C.	Arrays were washed and stained with phycoerythrin with Fluidics Station 450 and scanned using the Gene-Chip Scanner 3000 7G (Affymetrix, United Kingdom) according to the manufacturer's instructions	The quality control (QC) matrices were confirmed with expression console software (Affymertix, USA) and Partek genomics suite version 6.6 (Partek Inc.St.Louis,USA). QC passed CEL files were further analyzed using Partek genomics suite version 6.6. All CEL files were RMA background corrected, quantile normalized and all probe sets were summarized using median polish algorithm.	GPL570	Agapios,,Sachinidis	a.sachinidis@uni-koeln.de	+492214787373	Institute of Neurophysiology	University of Cologne	Robert-Kochstr. 39	Cologne	NRW	50931	Germany	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1827nnn/GSM1827640/GSM1827640_UKN1_43_biom_A_untr_D11_23.CEL.gz	54675
GSM1827641	UKN1_44_biom_A_untr_D11_24	GSM1827641	Public on Jul 21 2015	Jul 20 2015	Jul 21 2015	RNA	1	hESCs_culturing medium_6 days	Homo sapiens	gender: female	cell type: human embryonic stem cells	incubated or treated with: culturing medium for 6 days	cell status: differentiated state	H9 hESCs were differentiated for 6 days in the presence and absence of the toxicants into neuroepithelia progenitors (NEP)  (Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	According to Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	total RNA	Total RNA from 6 days differentiated hESCs in the presence and absence of benchmark concentration (BMC) of toxicants has  been isolated with  Trizol reagent (Invitrogen) and purified with the RNeasy Plus kit from Qiagen	biotin	100ng total RNA was used for aRNA amplification with GeneChip® 3’ IVT Express Kit (Affymetrix, United Kingdom) according to the manufacturer’s instructions. After 16 h of biotinylated in vitro transcription, aRNA was purified using magnetic beads and 15µg of purified aRNA was fragmented with fragmentation buffer	9606	12.5µg of fragmented aRNA was hybridized to the Human Genome U133 plus 2.0 microarrays in the Genechip Hybridisation Oven-645 (Affymetrix, United Kingdom) for 16 h at 45º C.	Arrays were washed and stained with phycoerythrin with Fluidics Station 450 and scanned using the Gene-Chip Scanner 3000 7G (Affymetrix, United Kingdom) according to the manufacturer's instructions	The quality control (QC) matrices were confirmed with expression console software (Affymertix, USA) and Partek genomics suite version 6.6 (Partek Inc.St.Louis,USA). QC passed CEL files were further analyzed using Partek genomics suite version 6.6. All CEL files were RMA background corrected, quantile normalized and all probe sets were summarized using median polish algorithm.	GPL570	Agapios,,Sachinidis	a.sachinidis@uni-koeln.de	+492214787373	Institute of Neurophysiology	University of Cologne	Robert-Kochstr. 39	Cologne	NRW	50931	Germany	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1827nnn/GSM1827641/GSM1827641_UKN1_44_biom_A_untr_D11_24.CEL.gz	54675
GSM1827642	UKN1_45_biom_A_untr_D11_25	GSM1827642	Public on Jul 21 2015	Jul 20 2015	Jul 21 2015	RNA	1	hESCs_culturing medium_6 days	Homo sapiens	gender: female	cell type: human embryonic stem cells	incubated or treated with: culturing medium for 6 days	cell status: differentiated state	H9 hESCs were differentiated for 6 days in the presence and absence of the toxicants into neuroepithelia progenitors (NEP)  (Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	According to Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	total RNA	Total RNA from 6 days differentiated hESCs in the presence and absence of benchmark concentration (BMC) of toxicants has  been isolated with  Trizol reagent (Invitrogen) and purified with the RNeasy Plus kit from Qiagen	biotin	100ng total RNA was used for aRNA amplification with GeneChip® 3’ IVT Express Kit (Affymetrix, United Kingdom) according to the manufacturer’s instructions. After 16 h of biotinylated in vitro transcription, aRNA was purified using magnetic beads and 15µg of purified aRNA was fragmented with fragmentation buffer	9606	12.5µg of fragmented aRNA was hybridized to the Human Genome U133 plus 2.0 microarrays in the Genechip Hybridisation Oven-645 (Affymetrix, United Kingdom) for 16 h at 45º C.	Arrays were washed and stained with phycoerythrin with Fluidics Station 450 and scanned using the Gene-Chip Scanner 3000 7G (Affymetrix, United Kingdom) according to the manufacturer's instructions	The quality control (QC) matrices were confirmed with expression console software (Affymertix, USA) and Partek genomics suite version 6.6 (Partek Inc.St.Louis,USA). QC passed CEL files were further analyzed using Partek genomics suite version 6.6. All CEL files were RMA background corrected, quantile normalized and all probe sets were summarized using median polish algorithm.	GPL570	Agapios,,Sachinidis	a.sachinidis@uni-koeln.de	+492214787373	Institute of Neurophysiology	University of Cologne	Robert-Kochstr. 39	Cologne	NRW	50931	Germany	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1827nnn/GSM1827642/GSM1827642_UKN1_45_biom_A_untr_D11_25.CEL.gz	54675
GSM1827643	UKN1_46_biom_A_untr_D12_07	GSM1827643	Public on Jul 21 2015	Jul 20 2015	Jul 21 2015	RNA	1	hESCs_culturing medium_6 days	Homo sapiens	gender: female	cell type: human embryonic stem cells	incubated or treated with: culturing medium for 6 days	cell status: differentiated state	H9 hESCs were differentiated for 6 days in the presence and absence of the toxicants into neuroepithelia progenitors (NEP)  (Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	According to Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	total RNA	Total RNA from 6 days differentiated hESCs in the presence and absence of benchmark concentration (BMC) of toxicants has  been isolated with  Trizol reagent (Invitrogen) and purified with the RNeasy Plus kit from Qiagen	biotin	100ng total RNA was used for aRNA amplification with GeneChip® 3’ IVT Express Kit (Affymetrix, United Kingdom) according to the manufacturer’s instructions. After 16 h of biotinylated in vitro transcription, aRNA was purified using magnetic beads and 15µg of purified aRNA was fragmented with fragmentation buffer	9606	12.5µg of fragmented aRNA was hybridized to the Human Genome U133 plus 2.0 microarrays in the Genechip Hybridisation Oven-645 (Affymetrix, United Kingdom) for 16 h at 45º C.	Arrays were washed and stained with phycoerythrin with Fluidics Station 450 and scanned using the Gene-Chip Scanner 3000 7G (Affymetrix, United Kingdom) according to the manufacturer's instructions	The quality control (QC) matrices were confirmed with expression console software (Affymertix, USA) and Partek genomics suite version 6.6 (Partek Inc.St.Louis,USA). QC passed CEL files were further analyzed using Partek genomics suite version 6.6. All CEL files were RMA background corrected, quantile normalized and all probe sets were summarized using median polish algorithm.	GPL570	Agapios,,Sachinidis	a.sachinidis@uni-koeln.de	+492214787373	Institute of Neurophysiology	University of Cologne	Robert-Kochstr. 39	Cologne	NRW	50931	Germany	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1827nnn/GSM1827643/GSM1827643_UKN1_46_biom_A_untr_D12_07.CEL.gz	54675
GSM1827644	UKN1_47_biom_A_untr_D12_08	GSM1827644	Public on Jul 21 2015	Jul 20 2015	Jul 21 2015	RNA	1	hESCs_culturing medium_6 days	Homo sapiens	gender: female	cell type: human embryonic stem cells	incubated or treated with: culturing medium for 6 days	cell status: differentiated state	H9 hESCs were differentiated for 6 days in the presence and absence of the toxicants into neuroepithelia progenitors (NEP)  (Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	According to Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	total RNA	Total RNA from 6 days differentiated hESCs in the presence and absence of benchmark concentration (BMC) of toxicants has  been isolated with  Trizol reagent (Invitrogen) and purified with the RNeasy Plus kit from Qiagen	biotin	100ng total RNA was used for aRNA amplification with GeneChip® 3’ IVT Express Kit (Affymetrix, United Kingdom) according to the manufacturer’s instructions. After 16 h of biotinylated in vitro transcription, aRNA was purified using magnetic beads and 15µg of purified aRNA was fragmented with fragmentation buffer	9606	12.5µg of fragmented aRNA was hybridized to the Human Genome U133 plus 2.0 microarrays in the Genechip Hybridisation Oven-645 (Affymetrix, United Kingdom) for 16 h at 45º C.	Arrays were washed and stained with phycoerythrin with Fluidics Station 450 and scanned using the Gene-Chip Scanner 3000 7G (Affymetrix, United Kingdom) according to the manufacturer's instructions	The quality control (QC) matrices were confirmed with expression console software (Affymertix, USA) and Partek genomics suite version 6.6 (Partek Inc.St.Louis,USA). QC passed CEL files were further analyzed using Partek genomics suite version 6.6. All CEL files were RMA background corrected, quantile normalized and all probe sets were summarized using median polish algorithm.	GPL570	Agapios,,Sachinidis	a.sachinidis@uni-koeln.de	+492214787373	Institute of Neurophysiology	University of Cologne	Robert-Kochstr. 39	Cologne	NRW	50931	Germany	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1827nnn/GSM1827644/GSM1827644_UKN1_47_biom_A_untr_D12_08.CEL.gz	54675
GSM1827645	UKN1_48_biom_A_untr_D12_09	GSM1827645	Public on Jul 21 2015	Jul 20 2015	Jul 21 2015	RNA	1	hESCs_culturing medium_6 days	Homo sapiens	gender: female	cell type: human embryonic stem cells	incubated or treated with: culturing medium for 6 days	cell status: differentiated state	H9 hESCs were differentiated for 6 days in the presence and absence of the toxicants into neuroepithelia progenitors (NEP)  (Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	According to Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	total RNA	Total RNA from 6 days differentiated hESCs in the presence and absence of benchmark concentration (BMC) of toxicants has  been isolated with  Trizol reagent (Invitrogen) and purified with the RNeasy Plus kit from Qiagen	biotin	100ng total RNA was used for aRNA amplification with GeneChip® 3’ IVT Express Kit (Affymetrix, United Kingdom) according to the manufacturer’s instructions. After 16 h of biotinylated in vitro transcription, aRNA was purified using magnetic beads and 15µg of purified aRNA was fragmented with fragmentation buffer	9606	12.5µg of fragmented aRNA was hybridized to the Human Genome U133 plus 2.0 microarrays in the Genechip Hybridisation Oven-645 (Affymetrix, United Kingdom) for 16 h at 45º C.	Arrays were washed and stained with phycoerythrin with Fluidics Station 450 and scanned using the Gene-Chip Scanner 3000 7G (Affymetrix, United Kingdom) according to the manufacturer's instructions	The quality control (QC) matrices were confirmed with expression console software (Affymertix, USA) and Partek genomics suite version 6.6 (Partek Inc.St.Louis,USA). QC passed CEL files were further analyzed using Partek genomics suite version 6.6. All CEL files were RMA background corrected, quantile normalized and all probe sets were summarized using median polish algorithm.	GPL570	Agapios,,Sachinidis	a.sachinidis@uni-koeln.de	+492214787373	Institute of Neurophysiology	University of Cologne	Robert-Kochstr. 39	Cologne	NRW	50931	Germany	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1827nnn/GSM1827645/GSM1827645_UKN1_48_biom_A_untr_D12_09.CEL.gz	54675
GSM1827646	UKN1_49_biom_A_untr_D12_10	GSM1827646	Public on Jul 21 2015	Jul 20 2015	Jul 21 2015	RNA	1	hESCs_culturing medium_6 days	Homo sapiens	gender: female	cell type: human embryonic stem cells	incubated or treated with: culturing medium for 6 days	cell status: differentiated state	H9 hESCs were differentiated for 6 days in the presence and absence of the toxicants into neuroepithelia progenitors (NEP)  (Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	According to Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	total RNA	Total RNA from 6 days differentiated hESCs in the presence and absence of benchmark concentration (BMC) of toxicants has  been isolated with  Trizol reagent (Invitrogen) and purified with the RNeasy Plus kit from Qiagen	biotin	100ng total RNA was used for aRNA amplification with GeneChip® 3’ IVT Express Kit (Affymetrix, United Kingdom) according to the manufacturer’s instructions. After 16 h of biotinylated in vitro transcription, aRNA was purified using magnetic beads and 15µg of purified aRNA was fragmented with fragmentation buffer	9606	12.5µg of fragmented aRNA was hybridized to the Human Genome U133 plus 2.0 microarrays in the Genechip Hybridisation Oven-645 (Affymetrix, United Kingdom) for 16 h at 45º C.	Arrays were washed and stained with phycoerythrin with Fluidics Station 450 and scanned using the Gene-Chip Scanner 3000 7G (Affymetrix, United Kingdom) according to the manufacturer's instructions	The quality control (QC) matrices were confirmed with expression console software (Affymertix, USA) and Partek genomics suite version 6.6 (Partek Inc.St.Louis,USA). QC passed CEL files were further analyzed using Partek genomics suite version 6.6. All CEL files were RMA background corrected, quantile normalized and all probe sets were summarized using median polish algorithm.	GPL570	Agapios,,Sachinidis	a.sachinidis@uni-koeln.de	+492214787373	Institute of Neurophysiology	University of Cologne	Robert-Kochstr. 39	Cologne	NRW	50931	Germany	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1827nnn/GSM1827646/GSM1827646_UKN1_49_biom_A_untr_D12_10.CEL.gz	54675
GSM1827647	UKN1_50_biom_A_VPA_D12_07	GSM1827647	Public on Jul 21 2015	Jul 20 2015	Jul 21 2015	RNA	1	hESCs_valproic acid_6 days	Homo sapiens	gender: female	cell type: human embryonic stem cells	incubated or treated with: valproic acid for 6 days	cell status: differentiated state	H9 hESCs were differentiated for 6 days in the presence and absence of the toxicants into neuroepithelia progenitors (NEP)  (Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	According to Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	total RNA	Total RNA from 6 days differentiated hESCs in the presence and absence of benchmark concentration (BMC) of toxicants has  been isolated with  Trizol reagent (Invitrogen) and purified with the RNeasy Plus kit from Qiagen	biotin	100ng total RNA was used for aRNA amplification with GeneChip® 3’ IVT Express Kit (Affymetrix, United Kingdom) according to the manufacturer’s instructions. After 16 h of biotinylated in vitro transcription, aRNA was purified using magnetic beads and 15µg of purified aRNA was fragmented with fragmentation buffer	9606	12.5µg of fragmented aRNA was hybridized to the Human Genome U133 plus 2.0 microarrays in the Genechip Hybridisation Oven-645 (Affymetrix, United Kingdom) for 16 h at 45º C.	Arrays were washed and stained with phycoerythrin with Fluidics Station 450 and scanned using the Gene-Chip Scanner 3000 7G (Affymetrix, United Kingdom) according to the manufacturer's instructions	The quality control (QC) matrices were confirmed with expression console software (Affymertix, USA) and Partek genomics suite version 6.6 (Partek Inc.St.Louis,USA). QC passed CEL files were further analyzed using Partek genomics suite version 6.6. All CEL files were RMA background corrected, quantile normalized and all probe sets were summarized using median polish algorithm.	GPL570	Agapios,,Sachinidis	a.sachinidis@uni-koeln.de	+492214787373	Institute of Neurophysiology	University of Cologne	Robert-Kochstr. 39	Cologne	NRW	50931	Germany	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1827nnn/GSM1827647/GSM1827647_UKN1_50_biom_A_VPA_D12_07.CEL.gz	54675
GSM1827648	UKN1_51_biom_A_VPA_D12_08	GSM1827648	Public on Jul 21 2015	Jul 20 2015	Jul 21 2015	RNA	1	hESCs_valproic acid_6 days	Homo sapiens	gender: female	cell type: human embryonic stem cells	incubated or treated with: valproic acid for 6 days	cell status: differentiated state	H9 hESCs were differentiated for 6 days in the presence and absence of the toxicants into neuroepithelia progenitors (NEP)  (Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	According to Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	total RNA	Total RNA from 6 days differentiated hESCs in the presence and absence of benchmark concentration (BMC) of toxicants has  been isolated with  Trizol reagent (Invitrogen) and purified with the RNeasy Plus kit from Qiagen	biotin	100ng total RNA was used for aRNA amplification with GeneChip® 3’ IVT Express Kit (Affymetrix, United Kingdom) according to the manufacturer’s instructions. After 16 h of biotinylated in vitro transcription, aRNA was purified using magnetic beads and 15µg of purified aRNA was fragmented with fragmentation buffer	9606	12.5µg of fragmented aRNA was hybridized to the Human Genome U133 plus 2.0 microarrays in the Genechip Hybridisation Oven-645 (Affymetrix, United Kingdom) for 16 h at 45º C.	Arrays were washed and stained with phycoerythrin with Fluidics Station 450 and scanned using the Gene-Chip Scanner 3000 7G (Affymetrix, United Kingdom) according to the manufacturer's instructions	The quality control (QC) matrices were confirmed with expression console software (Affymertix, USA) and Partek genomics suite version 6.6 (Partek Inc.St.Louis,USA). QC passed CEL files were further analyzed using Partek genomics suite version 6.6. All CEL files were RMA background corrected, quantile normalized and all probe sets were summarized using median polish algorithm.	GPL570	Agapios,,Sachinidis	a.sachinidis@uni-koeln.de	+492214787373	Institute of Neurophysiology	University of Cologne	Robert-Kochstr. 39	Cologne	NRW	50931	Germany	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1827nnn/GSM1827648/GSM1827648_UKN1_51_biom_A_VPA_D12_08.CEL.gz	54675
GSM1827649	UKN1_52_biom_A_VPA_D12_09	GSM1827649	Public on Jul 21 2015	Jul 20 2015	Jul 21 2015	RNA	1	hESCs_valproic acid_6 days	Homo sapiens	gender: female	cell type: human embryonic stem cells	incubated or treated with: valproic acid for 6 days	cell status: differentiated state	H9 hESCs were differentiated for 6 days in the presence and absence of the toxicants into neuroepithelia progenitors (NEP)  (Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	According to Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	total RNA	Total RNA from 6 days differentiated hESCs in the presence and absence of benchmark concentration (BMC) of toxicants has  been isolated with  Trizol reagent (Invitrogen) and purified with the RNeasy Plus kit from Qiagen	biotin	100ng total RNA was used for aRNA amplification with GeneChip® 3’ IVT Express Kit (Affymetrix, United Kingdom) according to the manufacturer’s instructions. After 16 h of biotinylated in vitro transcription, aRNA was purified using magnetic beads and 15µg of purified aRNA was fragmented with fragmentation buffer	9606	12.5µg of fragmented aRNA was hybridized to the Human Genome U133 plus 2.0 microarrays in the Genechip Hybridisation Oven-645 (Affymetrix, United Kingdom) for 16 h at 45º C.	Arrays were washed and stained with phycoerythrin with Fluidics Station 450 and scanned using the Gene-Chip Scanner 3000 7G (Affymetrix, United Kingdom) according to the manufacturer's instructions	The quality control (QC) matrices were confirmed with expression console software (Affymertix, USA) and Partek genomics suite version 6.6 (Partek Inc.St.Louis,USA). QC passed CEL files were further analyzed using Partek genomics suite version 6.6. All CEL files were RMA background corrected, quantile normalized and all probe sets were summarized using median polish algorithm.	GPL570	Agapios,,Sachinidis	a.sachinidis@uni-koeln.de	+492214787373	Institute of Neurophysiology	University of Cologne	Robert-Kochstr. 39	Cologne	NRW	50931	Germany	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1827nnn/GSM1827649/GSM1827649_UKN1_52_biom_A_VPA_D12_09.CEL.gz	54675
GSM1827650	UKN1_53_biom_A_VPA_D12_10	GSM1827650	Public on Jul 21 2015	Jul 20 2015	Jul 21 2015	RNA	1	hESCs_valproic acid_6 days	Homo sapiens	gender: female	cell type: human embryonic stem cells	incubated or treated with: valproic acid for 6 days	cell status: differentiated state	H9 hESCs were differentiated for 6 days in the presence and absence of the toxicants into neuroepithelia progenitors (NEP)  (Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	According to Krug AK et al. (2013) Human embryonic stem cell-derived test systems for developmental neurotoxicity: a transcriptomics approach. Arch Toxicol 87(1):123-43).	total RNA	Total RNA from 6 days differentiated hESCs in the presence and absence of benchmark concentration (BMC) of toxicants has  been isolated with  Trizol reagent (Invitrogen) and purified with the RNeasy Plus kit from Qiagen	biotin	100ng total RNA was used for aRNA amplification with GeneChip® 3’ IVT Express Kit (Affymetrix, United Kingdom) according to the manufacturer’s instructions. After 16 h of biotinylated in vitro transcription, aRNA was purified using magnetic beads and 15µg of purified aRNA was fragmented with fragmentation buffer	9606	12.5µg of fragmented aRNA was hybridized to the Human Genome U133 plus 2.0 microarrays in the Genechip Hybridisation Oven-645 (Affymetrix, United Kingdom) for 16 h at 45º C.	Arrays were washed and stained with phycoerythrin with Fluidics Station 450 and scanned using the Gene-Chip Scanner 3000 7G (Affymetrix, United Kingdom) according to the manufacturer's instructions	The quality control (QC) matrices were confirmed with expression console software (Affymertix, USA) and Partek genomics suite version 6.6 (Partek Inc.St.Louis,USA). QC passed CEL files were further analyzed using Partek genomics suite version 6.6. All CEL files were RMA background corrected, quantile normalized and all probe sets were summarized using median polish algorithm.	GPL570	Agapios,,Sachinidis	a.sachinidis@uni-koeln.de	+492214787373	Institute of Neurophysiology	University of Cologne	Robert-Kochstr. 39	Cologne	NRW	50931	Germany	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1827nnn/GSM1827650/GSM1827650_UKN1_53_biom_A_VPA_D12_10.CEL.gz	54675
