	title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1	treatment_protocol_ch1	treatment_protocol_ch1	growth_protocol_ch1	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	data_processing	platform_id	contact_name	contact_email	contact_laboratory	contact_department	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	supplementary_file	data_row_count	relation
GSM1523515	T47D_PROG_rep2	GSM1523515	Public on Oct 18 2015	Oct 10 2014	Oct 18 2015	RNA	1	T47D breast cancer cells, 10nM progesterone treated 16h, rep 2	Homo sapiens	cell line: T47D	cell type: breast cancer cell line	hormone treatment: Plated in hormone stripped medium (Phenol red free RPMI1640 supplemented with 10% dextran charcoal stripped FCS) for 56h, followed by treatment with 10nM progesterone for 16h. Replicate 2	Cells were plated at 500,000 cells per well in 6 well plates in phenol red free RPMI 1640 supplemented with 10% dextran charcoal stripped FBS and incubated for 56h. Cells were subsequently treated for 16h with the nominated hormone(s).	Cells were grown in RPMI 1640 supplemented with 10% FBS	total RNA	Total RNA was isolated using a Qiagen Rneasy RNA extraction kit, incorporating Dnase on-column digestion according to manufacturer's instructions	biotin	biotinylated cDNA was prepared using 1ug of total RNA according to standard Illumina protocols	9606	Standard Illumina hybridisation protocol	Standard Illumina Scanning protocol	Data was normalised using cubic spline normalisation in bead studio. For publication, data was normalised using variance stabilisation normalisation, corrected with ComBat, filtered to likely expressed transcripts and then subjected to linear model fitting as implemented in the bioconductor Limma package in R.	GPL6171	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	NONE	46713	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851184
GSM1523516	T47D_PROG_rep3	GSM1523516	Public on Oct 18 2015	Oct 10 2014	Oct 18 2015	RNA	1	T47D breast cancer cells, 10nM progesterone treated 16h, rep 3	Homo sapiens	cell line: T47D	cell type: breast cancer cell line	hormone treatment: Plated in hormone stripped medium (Phenol red free RPMI1640 supplemented with 10% dextran charcoal stripped FCS) for 56h, followed by treatment with 10nM progesterone for 16h. Replicate 3	Cells were plated at 500,000 cells per well in 6 well plates in phenol red free RPMI 1640 supplemented with 10% dextran charcoal stripped FBS and incubated for 56h. Cells were subsequently treated for 16h with the nominated hormone(s).	Cells were grown in RPMI 1640 supplemented with 10% FBS	total RNA	Total RNA was isolated using a Qiagen Rneasy RNA extraction kit, incorporating Dnase on-column digestion according to manufacturer's instructions	biotin	biotinylated cDNA was prepared using 1ug of total RNA according to standard Illumina protocols	9606	Standard Illumina hybridisation protocol	Standard Illumina Scanning protocol	Data was normalised using cubic spline normalisation in bead studio. For publication, data was normalised using variance stabilisation normalisation, corrected with ComBat, filtered to likely expressed transcripts and then subjected to linear model fitting as implemented in the bioconductor Limma package in R.	GPL6171	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	NONE	46713	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851185
GSM1523517	T47D_MPA_rep1	GSM1523517	Public on Oct 18 2015	Oct 10 2014	Oct 18 2015	RNA	1	T47D breast cancer cells, 10nM medroxyprogesterone acetate treated 16h, rep 1	Homo sapiens	cell line: T47D	cell type: breast cancer cell line	hormone treatment: Plated in hormone stripped medium (Phenol red free RPMI1640 supplemented with 10% dextran charcoal stripped FCS) for 56h, followed by treatment with 10nM medroxyprogesterone acetate for 16h. Replicate 1	Cells were plated at 500,000 cells per well in 6 well plates in phenol red free RPMI 1640 supplemented with 10% dextran charcoal stripped FBS and incubated for 56h. Cells were subsequently treated for 16h with the nominated hormone(s).	Cells were grown in RPMI 1640 supplemented with 10% FBS	total RNA	Total RNA was isolated using a Qiagen Rneasy RNA extraction kit, incorporating Dnase on-column digestion according to manufacturer's instructions	biotin	biotinylated cDNA was prepared using 1ug of total RNA according to standard Illumina protocols	9606	Standard Illumina hybridisation protocol	Standard Illumina Scanning protocol	Data was normalised using cubic spline normalisation in bead studio. For publication, data was normalised using variance stabilisation normalisation, corrected with ComBat, filtered to likely expressed transcripts and then subjected to linear model fitting as implemented in the bioconductor Limma package in R.	GPL6171	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	NONE	46713	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851177
GSM1523518	T47D_MPA_rep2	GSM1523518	Public on Oct 18 2015	Oct 10 2014	Oct 18 2015	RNA	1	T47D breast cancer cells, 10nM medroxyprogesterone acetate treated 16h, rep 2	Homo sapiens	cell line: T47D	cell type: breast cancer cell line	hormone treatment: Plated in hormone stripped medium (Phenol red free RPMI1640 supplemented with 10% dextran charcoal stripped FCS) for 56h, followed by treatment with 10nM medroxyprogesterone acetate for 16h. Replicate 2	Cells were plated at 500,000 cells per well in 6 well plates in phenol red free RPMI 1640 supplemented with 10% dextran charcoal stripped FBS and incubated for 56h. Cells were subsequently treated for 16h with the nominated hormone(s).	Cells were grown in RPMI 1640 supplemented with 10% FBS	total RNA	Total RNA was isolated using a Qiagen Rneasy RNA extraction kit, incorporating Dnase on-column digestion according to manufacturer's instructions	biotin	biotinylated cDNA was prepared using 1ug of total RNA according to standard Illumina protocols	9606	Standard Illumina hybridisation protocol	Standard Illumina Scanning protocol	Data was normalised using cubic spline normalisation in bead studio. For publication, data was normalised using variance stabilisation normalisation, corrected with ComBat, filtered to likely expressed transcripts and then subjected to linear model fitting as implemented in the bioconductor Limma package in R.	GPL6171	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	NONE	46713	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851178
GSM1523519	T47D_MPA_rep3	GSM1523519	Public on Oct 18 2015	Oct 10 2014	Oct 18 2015	RNA	1	T47D breast cancer cells, 10nM medroxyprogesterone acetate treated 16h, rep 3	Homo sapiens	cell line: T47D	cell type: breast cancer cell line	hormone treatment: Plated in hormone stripped medium (Phenol red free RPMI1640 supplemented with 10% dextran charcoal stripped FCS) for 56h, followed by treatment with 10nM medroxyprogesterone acetate for 16h. Replicate 3	Cells were plated at 500,000 cells per well in 6 well plates in phenol red free RPMI 1640 supplemented with 10% dextran charcoal stripped FBS and incubated for 56h. Cells were subsequently treated for 16h with the nominated hormone(s).	Cells were grown in RPMI 1640 supplemented with 10% FBS	total RNA	Total RNA was isolated using a Qiagen Rneasy RNA extraction kit, incorporating Dnase on-column digestion according to manufacturer's instructions	biotin	biotinylated cDNA was prepared using 1ug of total RNA according to standard Illumina protocols	9606	Standard Illumina hybridisation protocol	Standard Illumina Scanning protocol	Data was normalised using cubic spline normalisation in bead studio. For publication, data was normalised using variance stabilisation normalisation, corrected with ComBat, filtered to likely expressed transcripts and then subjected to linear model fitting as implemented in the bioconductor Limma package in R.	GPL6171	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	NONE	46713	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851179
GSM1523520	E2s_DHT_rep1	GSM1523520	Public on Oct 18 2015	Oct 10 2014	Oct 18 2015	RNA	1	T47D breast cancer cells, 10nM estradiol and dihydrotestosterone treated 16h, rep 1	Homo sapiens	cell line: T47D	cell type: breast cancer cell line	hormone treatment: Plated in hormone stripped medium (Phenol red free RPMI1640 supplemented with 10% dextran charcoal stripped FCS) for 56h, followed by treatment with 10nM estradiol and 10nM dihydrotestosterone for 16h. Replicate 1	Cells were plated at 500,000 cells per well in 6 well plates in phenol red free RPMI 1640 supplemented with 10% dextran charcoal stripped FBS and incubated for 56h. Cells were subsequently treated for 16h with the nominated hormone(s).	Cells were grown in RPMI 1640 supplemented with 10% FBS	total RNA	Total RNA was isolated using a Qiagen Rneasy RNA extraction kit, incorporating Dnase on-column digestion according to manufacturer's instructions	biotin	biotinylated cDNA was prepared using 1ug of total RNA according to standard Illumina protocols	9606	Standard Illumina hybridisation protocol	Standard Illumina Scanning protocol	Data was normalised using cubic spline normalisation in bead studio. For publication, data was normalised using variance stabilisation normalisation, corrected with ComBat, filtered to likely expressed transcripts and then subjected to linear model fitting as implemented in the bioconductor Limma package in R.	GPL6171	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	NONE	46713	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851195
GSM1523521	E2s_DHT_rep2	GSM1523521	Public on Oct 18 2015	Oct 10 2014	Oct 18 2015	RNA	1	T47D breast cancer cells, 10nM estradiol and dihydrotestosterone treated 16h, rep 2	Homo sapiens	cell line: T47D	cell type: breast cancer cell line	hormone treatment: Plated in hormone stripped medium (Phenol red free RPMI1640 supplemented with 10% dextran charcoal stripped FCS) for 56h, followed by treatment with 10nM estradiol and 10nM dihydrotestosterone for 16h. Replicate 2	Cells were plated at 500,000 cells per well in 6 well plates in phenol red free RPMI 1640 supplemented with 10% dextran charcoal stripped FBS and incubated for 56h. Cells were subsequently treated for 16h with the nominated hormone(s).	Cells were grown in RPMI 1640 supplemented with 10% FBS	total RNA	Total RNA was isolated using a Qiagen Rneasy RNA extraction kit, incorporating Dnase on-column digestion according to manufacturer's instructions	biotin	biotinylated cDNA was prepared using 1ug of total RNA according to standard Illumina protocols	9606	Standard Illumina hybridisation protocol	Standard Illumina Scanning protocol	Data was normalised using cubic spline normalisation in bead studio. For publication, data was normalised using variance stabilisation normalisation, corrected with ComBat, filtered to likely expressed transcripts and then subjected to linear model fitting as implemented in the bioconductor Limma package in R.	GPL6171	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	NONE	46713	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851196
GSM1523522	E2s_DHT_rep3	GSM1523522	Public on Oct 18 2015	Oct 10 2014	Oct 18 2015	RNA	1	T47D breast cancer cells, 10nM estradiol and dihydrotestosterone treated 16h, rep 3	Homo sapiens	cell line: T47D	cell type: breast cancer cell line	hormone treatment: Plated in hormone stripped medium (Phenol red free RPMI1640 supplemented with 10% dextran charcoal stripped FCS) for 56h, followed by treatment with 10nM estradiol and 10nM dihydrotestosterone for 16h. Replicate 3	Cells were plated at 500,000 cells per well in 6 well plates in phenol red free RPMI 1640 supplemented with 10% dextran charcoal stripped FBS and incubated for 56h. Cells were subsequently treated for 16h with the nominated hormone(s).	Cells were grown in RPMI 1640 supplemented with 10% FBS	total RNA	Total RNA was isolated using a Qiagen Rneasy RNA extraction kit, incorporating Dnase on-column digestion according to manufacturer's instructions	biotin	biotinylated cDNA was prepared using 1ug of total RNA according to standard Illumina protocols	9606	Standard Illumina hybridisation protocol	Standard Illumina Scanning protocol	Data was normalised using cubic spline normalisation in bead studio. For publication, data was normalised using variance stabilisation normalisation, corrected with ComBat, filtered to likely expressed transcripts and then subjected to linear model fitting as implemented in the bioconductor Limma package in R.	GPL6171	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	NONE	46713	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851197
GSM1523523	E2s_PROG_rep1	GSM1523523	Public on Oct 18 2015	Oct 10 2014	Oct 18 2015	RNA	1	T47D breast cancer cells, 10nM estradiol and progesterone treated 16h, rep 1	Homo sapiens	cell line: T47D	cell type: breast cancer cell line	hormone treatment: Plated in hormone stripped medium (Phenol red free RPMI1640 supplemented with 10% dextran charcoal stripped FCS) for 56h, followed by treatment with 10nM estradiol and 10nM progesterone for 16h. Replicate 1	Cells were plated at 500,000 cells per well in 6 well plates in phenol red free RPMI 1640 supplemented with 10% dextran charcoal stripped FBS and incubated for 56h. Cells were subsequently treated for 16h with the nominated hormone(s).	Cells were grown in RPMI 1640 supplemented with 10% FBS	total RNA	Total RNA was isolated using a Qiagen Rneasy RNA extraction kit, incorporating Dnase on-column digestion according to manufacturer's instructions	biotin	biotinylated cDNA was prepared using 1ug of total RNA according to standard Illumina protocols	9606	Standard Illumina hybridisation protocol	Standard Illumina Scanning protocol	Data was normalised using cubic spline normalisation in bead studio. For publication, data was normalised using variance stabilisation normalisation, corrected with ComBat, filtered to likely expressed transcripts and then subjected to linear model fitting as implemented in the bioconductor Limma package in R.	GPL6171	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	NONE	46713	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851189
GSM1523524	E2s_PROG_rep2	GSM1523524	Public on Oct 18 2015	Oct 10 2014	Oct 18 2015	RNA	1	T47D breast cancer cells, 10nM estradiol and progesterone treated 16h, rep 2	Homo sapiens	cell line: T47D	cell type: breast cancer cell line	hormone treatment: Plated in hormone stripped medium (Phenol red free RPMI1640 supplemented with 10% dextran charcoal stripped FCS) for 56h, followed by treatment with 10nM estradiol and 10nM progesterone for 16h. Replicate 2	Cells were plated at 500,000 cells per well in 6 well plates in phenol red free RPMI 1640 supplemented with 10% dextran charcoal stripped FBS and incubated for 56h. Cells were subsequently treated for 16h with the nominated hormone(s).	Cells were grown in RPMI 1640 supplemented with 10% FBS	total RNA	Total RNA was isolated using a Qiagen Rneasy RNA extraction kit, incorporating Dnase on-column digestion according to manufacturer's instructions	biotin	biotinylated cDNA was prepared using 1ug of total RNA according to standard Illumina protocols	9606	Standard Illumina hybridisation protocol	Standard Illumina Scanning protocol	Data was normalised using cubic spline normalisation in bead studio. For publication, data was normalised using variance stabilisation normalisation, corrected with ComBat, filtered to likely expressed transcripts and then subjected to linear model fitting as implemented in the bioconductor Limma package in R.	GPL6171	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	NONE	46713	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851190
GSM1523525	E2s_PROG_rep3	GSM1523525	Public on Oct 18 2015	Oct 10 2014	Oct 18 2015	RNA	1	T47D breast cancer cells, 10nM estradiol and progesterone treated 16h, rep 3	Homo sapiens	cell line: T47D	cell type: breast cancer cell line	hormone treatment: Plated in hormone stripped medium (Phenol red free RPMI1640 supplemented with 10% dextran charcoal stripped FCS) for 56h, followed by treatment with 10nM estradiol and 10nM progesterone for 16h. Replicate 3	Cells were plated at 500,000 cells per well in 6 well plates in phenol red free RPMI 1640 supplemented with 10% dextran charcoal stripped FBS and incubated for 56h. Cells were subsequently treated for 16h with the nominated hormone(s).	Cells were grown in RPMI 1640 supplemented with 10% FBS	total RNA	Total RNA was isolated using a Qiagen Rneasy RNA extraction kit, incorporating Dnase on-column digestion according to manufacturer's instructions	biotin	biotinylated cDNA was prepared using 1ug of total RNA according to standard Illumina protocols	9606	Standard Illumina hybridisation protocol	Standard Illumina Scanning protocol	Data was normalised using cubic spline normalisation in bead studio. For publication, data was normalised using variance stabilisation normalisation, corrected with ComBat, filtered to likely expressed transcripts and then subjected to linear model fitting as implemented in the bioconductor Limma package in R.	GPL6171	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	NONE	46713	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851191
GSM1523526	E2s_MPA_rep1	GSM1523526	Public on Oct 18 2015	Oct 10 2014	Oct 18 2015	RNA	1	T47D breast cancer cells, 10nM estradiol and medroxyprogesterone acetate treated 16h, rep 1	Homo sapiens	cell line: T47D	cell type: breast cancer cell line	hormone treatment: Plated in hormone stripped medium (Phenol red free RPMI1640 supplemented with 10% dextran charcoal stripped FCS) for 56h, followed by treatment with 10nM estradiol and 10nM medroxyprogesterone acetate for 16h. Replicate 1	Cells were plated at 500,000 cells per well in 6 well plates in phenol red free RPMI 1640 supplemented with 10% dextran charcoal stripped FBS and incubated for 56h. Cells were subsequently treated for 16h with the nominated hormone(s).	Cells were grown in RPMI 1640 supplemented with 10% FBS	total RNA	Total RNA was isolated using a Qiagen Rneasy RNA extraction kit, incorporating Dnase on-column digestion according to manufacturer's instructions	biotin	biotinylated cDNA was prepared using 1ug of total RNA according to standard Illumina protocols	9606	Standard Illumina hybridisation protocol	Standard Illumina Scanning protocol	Data was normalised using cubic spline normalisation in bead studio. For publication, data was normalised using variance stabilisation normalisation, corrected with ComBat, filtered to likely expressed transcripts and then subjected to linear model fitting as implemented in the bioconductor Limma package in R.	GPL6171	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	NONE	46713	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851192
GSM1523527	E2s_MPA_rep2	GSM1523527	Public on Oct 18 2015	Oct 10 2014	Oct 18 2015	RNA	1	T47D breast cancer cells, 10nM estradiol and medroxyprogesterone acetate treated 16h, rep 2	Homo sapiens	cell line: T47D	cell type: breast cancer cell line	hormone treatment: Plated in hormone stripped medium (Phenol red free RPMI1640 supplemented with 10% dextran charcoal stripped FCS) for 56h, followed by treatment with 10nM estradiol and 10nM medroxyprogesterone acetate for 16h. Replicate 2	Cells were plated at 500,000 cells per well in 6 well plates in phenol red free RPMI 1640 supplemented with 10% dextran charcoal stripped FBS and incubated for 56h. Cells were subsequently treated for 16h with the nominated hormone(s).	Cells were grown in RPMI 1640 supplemented with 10% FBS	total RNA	Total RNA was isolated using a Qiagen Rneasy RNA extraction kit, incorporating Dnase on-column digestion according to manufacturer's instructions	biotin	biotinylated cDNA was prepared using 1ug of total RNA according to standard Illumina protocols	9606	Standard Illumina hybridisation protocol	Standard Illumina Scanning protocol	Data was normalised using cubic spline normalisation in bead studio. For publication, data was normalised using variance stabilisation normalisation, corrected with ComBat, filtered to likely expressed transcripts and then subjected to linear model fitting as implemented in the bioconductor Limma package in R.	GPL6171	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	NONE	46713	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851193
GSM1523528	E2s_MPA_rep3	GSM1523528	Public on Oct 18 2015	Oct 10 2014	Oct 18 2015	RNA	1	T47D breast cancer cells, 10nM estradiol and medroxyprogesterone acetate treated 16h, rep 3	Homo sapiens	cell line: T47D	cell type: breast cancer cell line	hormone treatment: Plated in hormone stripped medium (Phenol red free RPMI1640 supplemented with 10% dextran charcoal stripped FCS) for 56h, followed by treatment with 10nM estradiol and 10nM medroxyprogesterone acetate for 16h. Replicate 3	Cells were plated at 500,000 cells per well in 6 well plates in phenol red free RPMI 1640 supplemented with 10% dextran charcoal stripped FBS and incubated for 56h. Cells were subsequently treated for 16h with the nominated hormone(s).	Cells were grown in RPMI 1640 supplemented with 10% FBS	total RNA	Total RNA was isolated using a Qiagen Rneasy RNA extraction kit, incorporating Dnase on-column digestion according to manufacturer's instructions	biotin	biotinylated cDNA was prepared using 1ug of total RNA according to standard Illumina protocols	9606	Standard Illumina hybridisation protocol	Standard Illumina Scanning protocol	Data was normalised using cubic spline normalisation in bead studio. For publication, data was normalised using variance stabilisation normalisation, corrected with ComBat, filtered to likely expressed transcripts and then subjected to linear model fitting as implemented in the bioconductor Limma package in R.	GPL6171	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	NONE	46713	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851194
