	title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1	characteristics_ch1	characteristics_ch1	characteristics_ch1	characteristics_ch1	treatment_protocol_ch1	growth_protocol_ch1	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	description	data_processing	platform_id	contact_name	contact_email	contact_laboratory	contact_department	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	supplementary_file	data_row_count	relation
GSM1507812	ZR751_EpEP_16hr_rep2	GSM1507812	Public on Oct 18 2015	Sep 18 2014	Oct 18 2015	RNA	1	Breast cancer ZR751 cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM estrogen plus 10nM progesterone for 16hrs. Replicate 2.	Homo sapiens	treatment: cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM estrogen plus 10nM progesterone for 16hrs	cell line: ZR751	tissue: breast cancer	biosample number: SAMN02851208	bioproject id: 252531	time: 16hrs	Cells were treated using an overlay method involving treatment with 10X concetrated hormone mixture at 1:10 of the cell culture volume, followed by gentle swirling. Treatment times were staggered, and the RNA was isolated as a batch at the culmination of the experiment.	Cells were routinely passaged in RPMI1640 supplemented with 10% FBS. ZR-75-1 cells (passage 16; ATCC) were plated at 500,000 cells/well in 6 well plates in phenol red free RPMI1640 (Life Technologies) supplemented with 10% dextran-charcoal stripped FBS (Hyclone) and treated with hormones as described for each sample. RNA extracted at the timepoints indicated, DNAse treated on column using Qiagen RNeasy kit. An aliquot of each sample was used to synthesise cDNA to validate treatment effects. RNA quality was assessed for each sample via bioanalyser, with an average RIN of  9.6 (range 8.8 to 9.9).	total RNA	Extraction was performed using Qiagen Rneasy kit and on-column Dnase digestion according to manufacturer's instructions.	biotin	Biotinylated cDNA was prepared from 300ng RNA according to standard Affymetrix protocols	9606	Standard Affymetrix hybridisation protocol	Standard Affymetrix scanning protocol	RNA isolation with Qiagen Rneasy kit + Dnase digestion	Raw data was processed in R using bioconductor and Limma. Array data was normalized using RMA	GPL16686	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1507nnn/GSM1507812/GSM1507812_EpEP16n2.CEL.gz	53617	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851208
GSM1507813	ZR751_EpEP_16hr_rep3	GSM1507813	Public on Oct 18 2015	Sep 18 2014	Oct 18 2015	RNA	1	Breast cancer ZR751 cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM estrogen plus 10nM progesterone for 16hrs. Replicate 3.	Homo sapiens	treatment: cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM estrogen plus 10nM progesterone for 16hrs	cell line: ZR751	tissue: breast cancer	biosample number: SAMN02851209	bioproject id: 252531	time: 16hrs	Cells were treated using an overlay method involving treatment with 10X concetrated hormone mixture at 1:10 of the cell culture volume, followed by gentle swirling. Treatment times were staggered, and the RNA was isolated as a batch at the culmination of the experiment.	Cells were routinely passaged in RPMI1640 supplemented with 10% FBS. ZR-75-1 cells (passage 16; ATCC) were plated at 500,000 cells/well in 6 well plates in phenol red free RPMI1640 (Life Technologies) supplemented with 10% dextran-charcoal stripped FBS (Hyclone) and treated with hormones as described for each sample. RNA extracted at the timepoints indicated, DNAse treated on column using Qiagen RNeasy kit. An aliquot of each sample was used to synthesise cDNA to validate treatment effects. RNA quality was assessed for each sample via bioanalyser, with an average RIN of  9.6 (range 8.8 to 9.9).	total RNA	Extraction was performed using Qiagen Rneasy kit and on-column Dnase digestion according to manufacturer's instructions.	biotin	Biotinylated cDNA was prepared from 300ng RNA according to standard Affymetrix protocols	9606	Standard Affymetrix hybridisation protocol	Standard Affymetrix scanning protocol	RNA isolation with Qiagen Rneasy kit + Dnase digestion	Raw data was processed in R using bioconductor and Limma. Array data was normalized using RMA	GPL16686	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1507nnn/GSM1507813/GSM1507813_EpEP16n3.CEL.gz	53617	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851209
GSM1507814	ZR751_EpEP_16hr_rep4	GSM1507814	Public on Oct 18 2015	Sep 18 2014	Oct 18 2015	RNA	1	Breast cancer ZR751 cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM estrogen plus 10nM progesterone for 16hrs. Replicate 4.	Homo sapiens	treatment: cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM estrogen plus 10nM progesterone for 16hrs	cell line: ZR751	tissue: breast cancer	biosample number: SAMN02851210	bioproject id: 252531	time: 16hrs	Cells were treated using an overlay method involving treatment with 10X concetrated hormone mixture at 1:10 of the cell culture volume, followed by gentle swirling. Treatment times were staggered, and the RNA was isolated as a batch at the culmination of the experiment.	Cells were routinely passaged in RPMI1640 supplemented with 10% FBS. ZR-75-1 cells (passage 16; ATCC) were plated at 500,000 cells/well in 6 well plates in phenol red free RPMI1640 (Life Technologies) supplemented with 10% dextran-charcoal stripped FBS (Hyclone) and treated with hormones as described for each sample. RNA extracted at the timepoints indicated, DNAse treated on column using Qiagen RNeasy kit. An aliquot of each sample was used to synthesise cDNA to validate treatment effects. RNA quality was assessed for each sample via bioanalyser, with an average RIN of  9.6 (range 8.8 to 9.9).	total RNA	Extraction was performed using Qiagen Rneasy kit and on-column Dnase digestion according to manufacturer's instructions.	biotin	Biotinylated cDNA was prepared from 300ng RNA according to standard Affymetrix protocols	9606	Standard Affymetrix hybridisation protocol	Standard Affymetrix scanning protocol	RNA isolation with Qiagen Rneasy kit + Dnase digestion	Raw data was processed in R using bioconductor and Limma. Array data was normalized using RMA	GPL16686	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1507nnn/GSM1507814/GSM1507814_EpEP16n4.CEL.gz	53617	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851210
GSM1507815	ZR751_EpEP_16hr_rep5	GSM1507815	Public on Oct 18 2015	Sep 18 2014	Oct 18 2015	RNA	1	Breast cancer ZR751 cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM estrogen plus 10nM progesterone for 16hrs. Replicate 5.	Homo sapiens	treatment: cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM estrogen plus 10nM progesterone for 16hrs	cell line: ZR751	tissue: breast cancer	biosample number: SAMN02851211	bioproject id: 252531	time: 16hrs	Cells were treated using an overlay method involving treatment with 10X concetrated hormone mixture at 1:10 of the cell culture volume, followed by gentle swirling. Treatment times were staggered, and the RNA was isolated as a batch at the culmination of the experiment.	Cells were routinely passaged in RPMI1640 supplemented with 10% FBS. ZR-75-1 cells (passage 16; ATCC) were plated at 500,000 cells/well in 6 well plates in phenol red free RPMI1640 (Life Technologies) supplemented with 10% dextran-charcoal stripped FBS (Hyclone) and treated with hormones as described for each sample. RNA extracted at the timepoints indicated, DNAse treated on column using Qiagen RNeasy kit. An aliquot of each sample was used to synthesise cDNA to validate treatment effects. RNA quality was assessed for each sample via bioanalyser, with an average RIN of  9.6 (range 8.8 to 9.9).	total RNA	Extraction was performed using Qiagen Rneasy kit and on-column Dnase digestion according to manufacturer's instructions.	biotin	Biotinylated cDNA was prepared from 300ng RNA according to standard Affymetrix protocols	9606	Standard Affymetrix hybridisation protocol	Standard Affymetrix scanning protocol	RNA isolation with Qiagen Rneasy kit + Dnase digestion	Raw data was processed in R using bioconductor and Limma. Array data was normalized using RMA	GPL16686	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1507nnn/GSM1507815/GSM1507815_EpEP16n5.CEL.gz	53617	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851211
GSM1507816	ZR751_EpM_16hr_rep1	GSM1507816	Public on Oct 18 2015	Sep 18 2014	Oct 18 2015	RNA	1	Breast cancer ZR751 cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM medroxyprogesterone acetate for 16hrs. Replicate 1.	Homo sapiens	treatment: cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM medroxyprogesterone acetate for 16hrs	cell line: ZR751	tissue: breast cancer	biosample number: SAMN02851212	bioproject id: 252531	time: 16hrs	Cells were treated using an overlay method involving treatment with 10X concetrated hormone mixture at 1:10 of the cell culture volume, followed by gentle swirling. Treatment times were staggered, and the RNA was isolated as a batch at the culmination of the experiment.	Cells were routinely passaged in RPMI1640 supplemented with 10% FBS. ZR-75-1 cells (passage 16; ATCC) were plated at 500,000 cells/well in 6 well plates in phenol red free RPMI1640 (Life Technologies) supplemented with 10% dextran-charcoal stripped FBS (Hyclone) and treated with hormones as described for each sample. RNA extracted at the timepoints indicated, DNAse treated on column using Qiagen RNeasy kit. An aliquot of each sample was used to synthesise cDNA to validate treatment effects. RNA quality was assessed for each sample via bioanalyser, with an average RIN of  9.6 (range 8.8 to 9.9).	total RNA	Extraction was performed using Qiagen Rneasy kit and on-column Dnase digestion according to manufacturer's instructions.	biotin	Biotinylated cDNA was prepared from 300ng RNA according to standard Affymetrix protocols	9606	Standard Affymetrix hybridisation protocol	Standard Affymetrix scanning protocol	RNA isolation with Qiagen Rneasy kit + Dnase digestion	Raw data was processed in R using bioconductor and Limma. Array data was normalized using RMA	GPL16686	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1507nnn/GSM1507816/GSM1507816_EpM16n1.CEL.gz	53617	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851212
GSM1507817	ZR751_EpM_16hr_rep2	GSM1507817	Public on Oct 18 2015	Sep 18 2014	Oct 18 2015	RNA	1	Breast cancer ZR751 cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM medroxyprogesterone acetate for 16hrs. Replicate 2.	Homo sapiens	treatment: cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM medroxyprogesterone acetate for 16hrs	cell line: ZR751	tissue: breast cancer	biosample number: SAMN02851213	bioproject id: 252531	time: 16hrs	Cells were treated using an overlay method involving treatment with 10X concetrated hormone mixture at 1:10 of the cell culture volume, followed by gentle swirling. Treatment times were staggered, and the RNA was isolated as a batch at the culmination of the experiment.	Cells were routinely passaged in RPMI1640 supplemented with 10% FBS. ZR-75-1 cells (passage 16; ATCC) were plated at 500,000 cells/well in 6 well plates in phenol red free RPMI1640 (Life Technologies) supplemented with 10% dextran-charcoal stripped FBS (Hyclone) and treated with hormones as described for each sample. RNA extracted at the timepoints indicated, DNAse treated on column using Qiagen RNeasy kit. An aliquot of each sample was used to synthesise cDNA to validate treatment effects. RNA quality was assessed for each sample via bioanalyser, with an average RIN of  9.6 (range 8.8 to 9.9).	total RNA	Extraction was performed using Qiagen Rneasy kit and on-column Dnase digestion according to manufacturer's instructions.	biotin	Biotinylated cDNA was prepared from 300ng RNA according to standard Affymetrix protocols	9606	Standard Affymetrix hybridisation protocol	Standard Affymetrix scanning protocol	RNA isolation with Qiagen Rneasy kit + Dnase digestion	Raw data was processed in R using bioconductor and Limma. Array data was normalized using RMA	GPL16686	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1507nnn/GSM1507817/GSM1507817_EpM16n2.CEL.gz	53617	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851213
GSM1507818	ZR751_EpM_16hr_rep3	GSM1507818	Public on Oct 18 2015	Sep 18 2014	Oct 18 2015	RNA	1	Breast cancer ZR751 cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM medroxyprogesterone acetate for 16hrs. Replicate 3.	Homo sapiens	treatment: cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM medroxyprogesterone acetate for 16hrs	cell line: ZR751	tissue: breast cancer	biosample number: SAMN02851214	bioproject id: 252531	time: 16hrs	Cells were treated using an overlay method involving treatment with 10X concetrated hormone mixture at 1:10 of the cell culture volume, followed by gentle swirling. Treatment times were staggered, and the RNA was isolated as a batch at the culmination of the experiment.	Cells were routinely passaged in RPMI1640 supplemented with 10% FBS. ZR-75-1 cells (passage 16; ATCC) were plated at 500,000 cells/well in 6 well plates in phenol red free RPMI1640 (Life Technologies) supplemented with 10% dextran-charcoal stripped FBS (Hyclone) and treated with hormones as described for each sample. RNA extracted at the timepoints indicated, DNAse treated on column using Qiagen RNeasy kit. An aliquot of each sample was used to synthesise cDNA to validate treatment effects. RNA quality was assessed for each sample via bioanalyser, with an average RIN of  9.6 (range 8.8 to 9.9).	total RNA	Extraction was performed using Qiagen Rneasy kit and on-column Dnase digestion according to manufacturer's instructions.	biotin	Biotinylated cDNA was prepared from 300ng RNA according to standard Affymetrix protocols	9606	Standard Affymetrix hybridisation protocol	Standard Affymetrix scanning protocol	RNA isolation with Qiagen Rneasy kit + Dnase digestion	Raw data was processed in R using bioconductor and Limma. Array data was normalized using RMA	GPL16686	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1507nnn/GSM1507818/GSM1507818_EpM16n3.CEL.gz	53617	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851214
GSM1507819	ZR751_EpM_4hr_rep1	GSM1507819	Public on Oct 18 2015	Sep 18 2014	Oct 18 2015	RNA	1	Breast cancer ZR751 cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM medroxyprogesterone acetate for 4hrs. Replicate 1.	Homo sapiens	treatment: cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM medroxyprogesterone acetate for 4hrs	cell line: ZR751	tissue: breast cancer	biosample number: SAMN02851215	bioproject id: 252531	time: 4hrs	Cells were treated using an overlay method involving treatment with 10X concetrated hormone mixture at 1:10 of the cell culture volume, followed by gentle swirling. Treatment times were staggered, and the RNA was isolated as a batch at the culmination of the experiment.	Cells were routinely passaged in RPMI1640 supplemented with 10% FBS. ZR-75-1 cells (passage 16; ATCC) were plated at 500,000 cells/well in 6 well plates in phenol red free RPMI1640 (Life Technologies) supplemented with 10% dextran-charcoal stripped FBS (Hyclone) and treated with hormones as described for each sample. RNA extracted at the timepoints indicated, DNAse treated on column using Qiagen RNeasy kit. An aliquot of each sample was used to synthesise cDNA to validate treatment effects. RNA quality was assessed for each sample via bioanalyser, with an average RIN of  9.6 (range 8.8 to 9.9).	total RNA	Extraction was performed using Qiagen Rneasy kit and on-column Dnase digestion according to manufacturer's instructions.	biotin	Biotinylated cDNA was prepared from 300ng RNA according to standard Affymetrix protocols	9606	Standard Affymetrix hybridisation protocol	Standard Affymetrix scanning protocol	RNA isolation with Qiagen Rneasy kit + Dnase digestion	Raw data was processed in R using bioconductor and Limma. Array data was normalized using RMA	GPL16686	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1507nnn/GSM1507819/GSM1507819_EpM04n1.CEL.gz	53617	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851215
GSM1507820	ZR751_EpM_4hr_rep2	GSM1507820	Public on Oct 18 2015	Sep 18 2014	Oct 18 2015	RNA	1	Breast cancer ZR751 cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM medroxyprogesterone acetate for 4hrs. Replicate 2.	Homo sapiens	treatment: cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM medroxyprogesterone acetate for 4hrs	cell line: ZR751	tissue: breast cancer	biosample number: SAMN02851216	bioproject id: 252531	time: 4hrs	Cells were treated using an overlay method involving treatment with 10X concetrated hormone mixture at 1:10 of the cell culture volume, followed by gentle swirling. Treatment times were staggered, and the RNA was isolated as a batch at the culmination of the experiment.	Cells were routinely passaged in RPMI1640 supplemented with 10% FBS. ZR-75-1 cells (passage 16; ATCC) were plated at 500,000 cells/well in 6 well plates in phenol red free RPMI1640 (Life Technologies) supplemented with 10% dextran-charcoal stripped FBS (Hyclone) and treated with hormones as described for each sample. RNA extracted at the timepoints indicated, DNAse treated on column using Qiagen RNeasy kit. An aliquot of each sample was used to synthesise cDNA to validate treatment effects. RNA quality was assessed for each sample via bioanalyser, with an average RIN of  9.6 (range 8.8 to 9.9).	total RNA	Extraction was performed using Qiagen Rneasy kit and on-column Dnase digestion according to manufacturer's instructions.	biotin	Biotinylated cDNA was prepared from 300ng RNA according to standard Affymetrix protocols	9606	Standard Affymetrix hybridisation protocol	Standard Affymetrix scanning protocol	RNA isolation with Qiagen Rneasy kit + Dnase digestion	Raw data was processed in R using bioconductor and Limma. Array data was normalized using RMA	GPL16686	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1507nnn/GSM1507820/GSM1507820_EpM04n2.CEL.gz	53617	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851216
GSM1507821	ZR751_EpM_4hr_rep3	GSM1507821	Public on Oct 18 2015	Sep 18 2014	Oct 18 2015	RNA	1	Breast cancer ZR751 cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM medroxyprogesterone acetate for 4hrs. Replicate 3.	Homo sapiens	treatment: cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM medroxyprogesterone acetate for 4hrs	cell line: ZR751	tissue: breast cancer	biosample number: SAMN02851217	bioproject id: 252531	time: 4hrs	Cells were treated using an overlay method involving treatment with 10X concetrated hormone mixture at 1:10 of the cell culture volume, followed by gentle swirling. Treatment times were staggered, and the RNA was isolated as a batch at the culmination of the experiment.	Cells were routinely passaged in RPMI1640 supplemented with 10% FBS. ZR-75-1 cells (passage 16; ATCC) were plated at 500,000 cells/well in 6 well plates in phenol red free RPMI1640 (Life Technologies) supplemented with 10% dextran-charcoal stripped FBS (Hyclone) and treated with hormones as described for each sample. RNA extracted at the timepoints indicated, DNAse treated on column using Qiagen RNeasy kit. An aliquot of each sample was used to synthesise cDNA to validate treatment effects. RNA quality was assessed for each sample via bioanalyser, with an average RIN of  9.6 (range 8.8 to 9.9).	total RNA	Extraction was performed using Qiagen Rneasy kit and on-column Dnase digestion according to manufacturer's instructions.	biotin	Biotinylated cDNA was prepared from 300ng RNA according to standard Affymetrix protocols	9606	Standard Affymetrix hybridisation protocol	Standard Affymetrix scanning protocol	RNA isolation with Qiagen Rneasy kit + Dnase digestion	Raw data was processed in R using bioconductor and Limma. Array data was normalized using RMA	GPL16686	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1507nnn/GSM1507821/GSM1507821_EpM04n3.CEL.gz	53617	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851217
GSM1507822	ZR751_EpM_8hr_rep1	GSM1507822	Public on Oct 18 2015	Sep 18 2014	Oct 18 2015	RNA	1	Breast cancer ZR751 cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM medroxyprogesterone acetate for 8hrs. Replicate 1.	Homo sapiens	treatment: cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM medroxyprogesterone acetate for 8hrs	cell line: ZR751	tissue: breast cancer	biosample number: SAMN02851218	bioproject id: 252531	time: 8hrs	Cells were treated using an overlay method involving treatment with 10X concetrated hormone mixture at 1:10 of the cell culture volume, followed by gentle swirling. Treatment times were staggered, and the RNA was isolated as a batch at the culmination of the experiment.	Cells were routinely passaged in RPMI1640 supplemented with 10% FBS. ZR-75-1 cells (passage 16; ATCC) were plated at 500,000 cells/well in 6 well plates in phenol red free RPMI1640 (Life Technologies) supplemented with 10% dextran-charcoal stripped FBS (Hyclone) and treated with hormones as described for each sample. RNA extracted at the timepoints indicated, DNAse treated on column using Qiagen RNeasy kit. An aliquot of each sample was used to synthesise cDNA to validate treatment effects. RNA quality was assessed for each sample via bioanalyser, with an average RIN of  9.6 (range 8.8 to 9.9).	total RNA	Extraction was performed using Qiagen Rneasy kit and on-column Dnase digestion according to manufacturer's instructions.	biotin	Biotinylated cDNA was prepared from 300ng RNA according to standard Affymetrix protocols	9606	Standard Affymetrix hybridisation protocol	Standard Affymetrix scanning protocol	RNA isolation with Qiagen Rneasy kit + Dnase digestion	Raw data was processed in R using bioconductor and Limma. Array data was normalized using RMA	GPL16686	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1507nnn/GSM1507822/GSM1507822_EpM08n1.CEL.gz	53617	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851218
GSM1507823	ZR751_EpM_8hr_rep2	GSM1507823	Public on Oct 18 2015	Sep 18 2014	Oct 18 2015	RNA	1	Breast cancer ZR751 cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM medroxyprogesterone acetate for 8hrs. Replicate 2.	Homo sapiens	treatment: cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM medroxyprogesterone acetate for 8hrs	cell line: ZR751	tissue: breast cancer	biosample number: SAMN02851219	bioproject id: 252531	time: 8hrs	Cells were treated using an overlay method involving treatment with 10X concetrated hormone mixture at 1:10 of the cell culture volume, followed by gentle swirling. Treatment times were staggered, and the RNA was isolated as a batch at the culmination of the experiment.	Cells were routinely passaged in RPMI1640 supplemented with 10% FBS. ZR-75-1 cells (passage 16; ATCC) were plated at 500,000 cells/well in 6 well plates in phenol red free RPMI1640 (Life Technologies) supplemented with 10% dextran-charcoal stripped FBS (Hyclone) and treated with hormones as described for each sample. RNA extracted at the timepoints indicated, DNAse treated on column using Qiagen RNeasy kit. An aliquot of each sample was used to synthesise cDNA to validate treatment effects. RNA quality was assessed for each sample via bioanalyser, with an average RIN of  9.6 (range 8.8 to 9.9).	total RNA	Extraction was performed using Qiagen Rneasy kit and on-column Dnase digestion according to manufacturer's instructions.	biotin	Biotinylated cDNA was prepared from 300ng RNA according to standard Affymetrix protocols	9606	Standard Affymetrix hybridisation protocol	Standard Affymetrix scanning protocol	RNA isolation with Qiagen Rneasy kit + Dnase digestion	Raw data was processed in R using bioconductor and Limma. Array data was normalized using RMA	GPL16686	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1507nnn/GSM1507823/GSM1507823_EpM08n2.CEL.gz	53617	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851219
GSM1507824	ZR751_EpM_8hr_rep3	GSM1507824	Public on Oct 18 2015	Sep 18 2014	Oct 18 2015	RNA	1	Breast cancer ZR751 cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM medroxyprogesterone acetate for 8hrs. Replicate 3.	Homo sapiens	treatment: cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM medroxyprogesterone acetate for 8hrs	cell line: ZR751	tissue: breast cancer	biosample number: SAMN02851220	bioproject id: 252531	time: 8hrs	Cells were treated using an overlay method involving treatment with 10X concetrated hormone mixture at 1:10 of the cell culture volume, followed by gentle swirling. Treatment times were staggered, and the RNA was isolated as a batch at the culmination of the experiment.	Cells were routinely passaged in RPMI1640 supplemented with 10% FBS. ZR-75-1 cells (passage 16; ATCC) were plated at 500,000 cells/well in 6 well plates in phenol red free RPMI1640 (Life Technologies) supplemented with 10% dextran-charcoal stripped FBS (Hyclone) and treated with hormones as described for each sample. RNA extracted at the timepoints indicated, DNAse treated on column using Qiagen RNeasy kit. An aliquot of each sample was used to synthesise cDNA to validate treatment effects. RNA quality was assessed for each sample via bioanalyser, with an average RIN of  9.6 (range 8.8 to 9.9).	total RNA	Extraction was performed using Qiagen Rneasy kit and on-column Dnase digestion according to manufacturer's instructions.	biotin	Biotinylated cDNA was prepared from 300ng RNA according to standard Affymetrix protocols	9606	Standard Affymetrix hybridisation protocol	Standard Affymetrix scanning protocol	RNA isolation with Qiagen Rneasy kit + Dnase digestion	Raw data was processed in R using bioconductor and Limma. Array data was normalized using RMA	GPL16686	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1507nnn/GSM1507824/GSM1507824_EpM08n3.CEL.gz	53617	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851220
GSM1507825	ZR751_EpP_16hr_rep1	GSM1507825	Public on Oct 18 2015	Sep 18 2014	Oct 18 2015	RNA	1	Breast cancer ZR751 cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM progesterone for 16hrs. Replicate 1.	Homo sapiens	treatment: cells pretreated with 10nM E2 for 72 hours, overlayed with 10nM progesterone for 16hrs	cell line: ZR751	tissue: breast cancer	biosample number: SAMN02851221	bioproject id: 252531	time: 16hrs	Cells were treated using an overlay method involving treatment with 10X concetrated hormone mixture at 1:10 of the cell culture volume, followed by gentle swirling. Treatment times were staggered, and the RNA was isolated as a batch at the culmination of the experiment.	Cells were routinely passaged in RPMI1640 supplemented with 10% FBS. ZR-75-1 cells (passage 16; ATCC) were plated at 500,000 cells/well in 6 well plates in phenol red free RPMI1640 (Life Technologies) supplemented with 10% dextran-charcoal stripped FBS (Hyclone) and treated with hormones as described for each sample. RNA extracted at the timepoints indicated, DNAse treated on column using Qiagen RNeasy kit. An aliquot of each sample was used to synthesise cDNA to validate treatment effects. RNA quality was assessed for each sample via bioanalyser, with an average RIN of  9.6 (range 8.8 to 9.9).	total RNA	Extraction was performed using Qiagen Rneasy kit and on-column Dnase digestion according to manufacturer's instructions.	biotin	Biotinylated cDNA was prepared from 300ng RNA according to standard Affymetrix protocols	9606	Standard Affymetrix hybridisation protocol	Standard Affymetrix scanning protocol	RNA isolation with Qiagen Rneasy kit + Dnase digestion	Raw data was processed in R using bioconductor and Limma. Array data was normalized using RMA	GPL16686	Eleanor,F,Need	eleanor.need@adelaide.edu.au	Cancer Biology Group	Discipline of Surgery	The University of Adelaide	28 Woodville Rd	Woodville South	SA	5011	Australia	ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM1507nnn/GSM1507825/GSM1507825_EpP16n1.CEL.gz	53617	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN02851221
